GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2012 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2012 inflation-adjusted dollars)
8600000US60002,60002,ZCTA5 60002,81192,5967
8600000US60004,60004,ZCTA5 60004,81039,3927
8600000US60005,60005,ZCTA5 60005,66701,4210
8600000US60007,60007,ZCTA5 60007,68184,3707
8600000US60008,60008,ZCTA5 60008,59075,2940
8600000US60010,60010,ZCTA5 60010,120117,5882
8600000US60012,60012,ZCTA5 60012,106297,6758
8600000US60013,60013,ZCTA5 60013,98183,4333
8600000US60014,60014,ZCTA5 60014,81035,4793
8600000US60015,60015,ZCTA5 60015,125246,7879
8600000US60016,60016,ZCTA5 60016,57972,3280
8600000US60018,60018,ZCTA5 60018,57171,4026
8600000US60020,60020,ZCTA5 60020,59688,7711
8600000US60021,60021,ZCTA5 60021,82250,16078
8600000US60022,60022,ZCTA5 60022,190995,28633
8600000US60025,60025,ZCTA5 60025,91086,5355
8600000US60026,60026,ZCTA5 60026,100729,21518
8600000US60029,60029,ZCTA5 60029,169250,17180
8600000US60030,60030,ZCTA5 60030,84688,5074
8600000US60031,60031,ZCTA5 60031,83028,3490
8600000US60033,60033,ZCTA5 60033,48624,7544
8600000US60034,60034,ZCTA5 60034,60313,16924
8600000US60035,60035,ZCTA5 60035,115549,4820
8600000US60040,60040,ZCTA5 60040,58256,8905
8600000US60041,60041,ZCTA5 60041,59288,6302
8600000US60042,60042,ZCTA5 60042,67005,4912
8600000US60043,60043,ZCTA5 60043,229792,33560
8600000US60044,60044,ZCTA5 60044,105321,10156
8600000US60045,60045,ZCTA5 60045,138750,13616
8600000US60046,60046,ZCTA5 60046,92370,4247
8600000US60047,60047,ZCTA5 60047,127190,5491
8600000US60048,60048,ZCTA5 60048,107302,4473
8600000US60050,60050,ZCTA5 60050,68430,3611
8600000US60051,60051,ZCTA5 60051,74071,3464
8600000US60053,60053,ZCTA5 60053,72204,4217
8600000US60056,60056,ZCTA5 60056,68089,3683
8600000US60060,60060,ZCTA5 60060,79455,3924
8600000US60061,60061,ZCTA5 60061,90334,4125
8600000US60062,60062,ZCTA5 60062,99538,3817
8600000US60064,60064,ZCTA5 60064,35661,2918
8600000US60067,60067,ZCTA5 60067,93369,5655
8600000US60068,60068,ZCTA5 60068,86621,4903
8600000US60069,60069,ZCTA5 60069,100579,11427
8600000US60070,60070,ZCTA5 60070,61165,3207
8600000US60071,60071,ZCTA5 60071,59653,10010
8600000US60072,60072,ZCTA5 60072,81250,20761
8600000US60073,60073,ZCTA5 60073,65545,2256
8600000US60074,60074,ZCTA5 60074,62172,3515
8600000US60076,60076,ZCTA5 60076,69477,3616
8600000US60077,60077,ZCTA5 60077,60145,3786
8600000US60081,60081,ZCTA5 60081,82146,8065
8600000US60083,60083,ZCTA5 60083,95938,14204
8600000US60084,60084,ZCTA5 60084,73889,7408
8600000US60085,60085,ZCTA5 60085,40750,2175
8600000US60087,60087,ZCTA5 60087,57482,4956
8600000US60088,60088,ZCTA5 60088,62602,8222
8600000US60089,60089,ZCTA5 60089,93561,3661
8600000US60090,60090,ZCTA5 60090,57416,3796
8600000US60091,60091,ZCTA5 60091,130088,6805
8600000US60093,60093,ZCTA5 60093,156394,17250
8600000US60096,60096,ZCTA5 60096,73636,6813
8600000US60097,60097,ZCTA5 60097,69938,5416
8600000US60098,60098,ZCTA5 60098,63269,4361
8600000US60099,60099,ZCTA5 60099,53593,3218
8600000US60101,60101,ZCTA5 60101,59925,4270
8600000US60102,60102,ZCTA5 60102,96885,6224
8600000US60103,60103,ZCTA5 60103,96205,2837
8600000US60104,60104,ZCTA5 60104,54047,4532
8600000US60106,60106,ZCTA5 60106,58779,3915
8600000US60107,60107,ZCTA5 60107,71384,3575
8600000US60108,60108,ZCTA5 60108,71351,3082
8600000US60109,60109,ZCTA5 60109,60313,13981
8600000US60110,60110,ZCTA5 60110,55753,4325
8600000US60111,60111,ZCTA5 60111,71793,45050
8600000US60112,60112,ZCTA5 60112,68902,8460
8600000US60113,60113,ZCTA5 60113,46250,7213
8600000US60115,60115,ZCTA5 60115,39374,2705
8600000US60118,60118,ZCTA5 60118,76159,6287
8600000US60119,60119,ZCTA5 60119,95808,13092
8600000US60120,60120,ZCTA5 60120,53696,2288
8600000US60123,60123,ZCTA5 60123,56024,3337
8600000US60124,60124,ZCTA5 60124,101655,7352
8600000US60126,60126,ZCTA5 60126,92777,4349
8600000US60129,60129,ZCTA5 60129,95833,10461
8600000US60130,60130,ZCTA5 60130,50700,4307
8600000US60131,60131,ZCTA5 60131,55186,5942
8600000US60133,60133,ZCTA5 60133,70313,3801
8600000US60134,60134,ZCTA5 60134,105488,5218
8600000US60135,60135,ZCTA5 60135,66226,9326
8600000US60136,60136,ZCTA5 60136,107356,11632
8600000US60137,60137,ZCTA5 60137,90195,3886
8600000US60139,60139,ZCTA5 60139,62282,3498
8600000US60140,60140,ZCTA5 60140,74869,3179
8600000US60141,60141,ZCTA5 60141,155469,26833
8600000US60142,60142,ZCTA5 60142,72181,4958
8600000US60143,60143,ZCTA5 60143,78509,7328
8600000US60144,60144,ZCTA5 60144,106250,15912
8600000US60145,60145,ZCTA5 60145,79385,4359
8600000US60146,60146,ZCTA5 60146,55750,7499
8600000US60148,60148,ZCTA5 60148,72150,2725
8600000US60150,60150,ZCTA5 60150,51532,6798
8600000US60151,60151,ZCTA5 60151,68250,10380
8600000US60152,60152,ZCTA5 60152,67845,5630
8600000US60153,60153,ZCTA5 60153,43770,4895
8600000US60154,60154,ZCTA5 60154,69989,6156
8600000US60155,60155,ZCTA5 60155,49864,5639
8600000US60156,60156,ZCTA5 60156,85429,4065
8600000US60157,60157,ZCTA5 60157,87750,18816
8600000US60160,60160,ZCTA5 60160,44691,3201
8600000US60162,60162,ZCTA5 60162,52395,6078
8600000US60163,60163,ZCTA5 60163,62644,5649
8600000US60164,60164,ZCTA5 60164,58537,2566
8600000US60165,60165,ZCTA5 60165,44886,8063
8600000US60169,60169,ZCTA5 60169,69042,4145
8600000US60171,60171,ZCTA5 60171,47646,3669
8600000US60172,60172,ZCTA5 60172,77073,4853
8600000US60173,60173,ZCTA5 60173,64127,5493
8600000US60174,60174,ZCTA5 60174,76342,5506
8600000US60175,60175,ZCTA5 60175,126204,7869
8600000US60176,60176,ZCTA5 60176,41862,3618
8600000US60177,60177,ZCTA5 60177,83778,4979
8600000US60178,60178,ZCTA5 60178,63963,2892
8600000US60180,60180,ZCTA5 60180,67500,27607
8600000US60181,60181,ZCTA5 60181,68196,2129
8600000US60184,60184,ZCTA5 60184,152500,41296
8600000US60185,60185,ZCTA5 60185,68837,4721
8600000US60187,60187,ZCTA5 60187,82595,3951
8600000US60188,60188,ZCTA5 60188,75674,2799
8600000US60189,60189,ZCTA5 60189,94580,6017
8600000US60190,60190,ZCTA5 60190,96345,5415
8600000US60191,60191,ZCTA5 60191,62160,3537
8600000US60192,60192,ZCTA5 60192,110913,5524
8600000US60193,60193,ZCTA5 60193,73043,3057
8600000US60194,60194,ZCTA5 60194,74347,6538
