GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - One or more health insurance items imputed,Estimate; Total: - No health insurance items imputed
8600000US60002,60002,ZCTA5 60002,24229,2453,21776
8600000US60004,60004,ZCTA5 60004,49550,4557,44993
8600000US60005,60005,ZCTA5 60005,30682,2977,27705
8600000US60007,60007,ZCTA5 60007,33838,3173,30665
8600000US60008,60008,ZCTA5 60008,22079,2280,19799
8600000US60010,60010,ZCTA5 60010,43890,4931,38959
8600000US60012,60012,ZCTA5 60012,11032,831,10201
8600000US60013,60013,ZCTA5 60013,26811,1671,25140
8600000US60014,60014,ZCTA5 60014,48083,4360,43723
8600000US60015,60015,ZCTA5 60015,26919,3436,23483
8600000US60016,60016,ZCTA5 60016,60407,5324,55083
8600000US60018,60018,ZCTA5 60018,28300,2975,25325
8600000US60020,60020,ZCTA5 60020,10364,1131,9233
8600000US60021,60021,ZCTA5 60021,5560,605,4955
8600000US60022,60022,ZCTA5 60022,8313,781,7532
8600000US60025,60025,ZCTA5 60025,38413,3932,34481
8600000US60026,60026,ZCTA5 60026,13528,1234,12294
8600000US60029,60029,ZCTA5 60029,435,44,391
8600000US60030,60030,ZCTA5 60030,35659,2682,32977
8600000US60031,60031,ZCTA5 60031,38065,2836,35229
8600000US60033,60033,ZCTA5 60033,13763,1480,12283
8600000US60034,60034,ZCTA5 60034,1826,114,1712
8600000US60035,60035,ZCTA5 60035,29560,3579,25981
8600000US60040,60040,ZCTA5 60040,5353,353,5000
8600000US60041,60041,ZCTA5 60041,8877,974,7903
8600000US60042,60042,ZCTA5 60042,8565,513,8052
8600000US60043,60043,ZCTA5 60043,2786,202,2584
8600000US60044,60044,ZCTA5 60044,9766,798,8968
8600000US60045,60045,ZCTA5 60045,20649,2556,18093
8600000US60046,60046,ZCTA5 60046,34290,2542,31748
8600000US60047,60047,ZCTA5 60047,41592,3562,38030
8600000US60048,60048,ZCTA5 60048,29073,2121,26952
8600000US60050,60050,ZCTA5 60050,32144,2719,29425
8600000US60051,60051,ZCTA5 60051,24640,1990,22650
8600000US60053,60053,ZCTA5 60053,23209,2583,20626
8600000US60056,60056,ZCTA5 60056,55601,5356,50245
8600000US60060,60060,ZCTA5 60060,37538,3097,34441
8600000US60061,60061,ZCTA5 60061,25970,2420,23550
8600000US60062,60062,ZCTA5 60062,39360,4697,34663
8600000US60064,60064,ZCTA5 60064,16056,1607,14449
8600000US60067,60067,ZCTA5 60067,38250,3269,34981
8600000US60068,60068,ZCTA5 60068,37004,3465,33539
8600000US60069,60069,ZCTA5 60069,7965,1100,6865
8600000US60070,60070,ZCTA5 60070,15859,1399,14460
8600000US60071,60071,ZCTA5 60071,3488,335,3153
8600000US60072,60072,ZCTA5 60072,976,44,932
8600000US60073,60073,ZCTA5 60073,59989,4747,55242
8600000US60074,60074,ZCTA5 60074,39018,2998,36020
8600000US60076,60076,ZCTA5 60076,32515,3050,29465
8600000US60077,60077,ZCTA5 60077,27036,2598,24438
8600000US60081,60081,ZCTA5 60081,9939,755,9184
8600000US60083,60083,ZCTA5 60083,9863,872,8991
8600000US60084,60084,ZCTA5 60084,16198,1581,14617
8600000US60085,60085,ZCTA5 60085,69475,5519,63956
8600000US60087,60087,ZCTA5 60087,26481,2994,23487
8600000US60088,60088,ZCTA5 60088,2913,77,2836
8600000US60089,60089,ZCTA5 60089,41519,3681,37838
8600000US60090,60090,ZCTA5 60090,37327,3143,34184
8600000US60091,60091,ZCTA5 60091,27141,2595,24546
8600000US60093,60093,ZCTA5 60093,19010,2130,16880
8600000US60096,60096,ZCTA5 60096,7001,542,6459
8600000US60097,60097,ZCTA5 60097,10758,751,10007
8600000US60098,60098,ZCTA5 60098,31891,2027,29864
8600000US60099,60099,ZCTA5 60099,31116,2935,28181
8600000US60101,60101,ZCTA5 60101,39580,3478,36102
8600000US60102,60102,ZCTA5 60102,32166,2923,29243
8600000US60103,60103,ZCTA5 60103,42157,2661,39496
8600000US60104,60104,ZCTA5 60104,19006,1476,17530
8600000US60106,60106,ZCTA5 60106,20134,2226,17908
8600000US60107,60107,ZCTA5 60107,40439,4234,36205
8600000US60108,60108,ZCTA5 60108,22306,2266,20040
8600000US60109,60109,ZCTA5 60109,567,11,556
8600000US60110,60110,ZCTA5 60110,38989,2954,36035
8600000US60111,60111,ZCTA5 60111,376,45,331
8600000US60112,60112,ZCTA5 60112,4674,351,4323
8600000US60113,60113,ZCTA5 60113,309,10,299
8600000US60115,60115,ZCTA5 60115,45771,5165,40606
8600000US60118,60118,ZCTA5 60118,15587,1192,14395
8600000US60119,60119,ZCTA5 60119,10335,756,9579
8600000US60120,60120,ZCTA5 60120,51042,3165,47877
8600000US60123,60123,ZCTA5 60123,47190,4185,43005
8600000US60124,60124,ZCTA5 60124,19594,2552,17042
8600000US60126,60126,ZCTA5 60126,46068,4316,41752
8600000US60129,60129,ZCTA5 60129,184,32,152
8600000US60130,60130,ZCTA5 60130,14003,1301,12702
8600000US60131,60131,ZCTA5 60131,18018,1449,16569
8600000US60133,60133,ZCTA5 60133,38342,3155,35187
8600000US60134,60134,ZCTA5 60134,28815,1848,26967
8600000US60135,60135,ZCTA5 60135,7174,663,6511
8600000US60136,60136,ZCTA5 60136,7093,362,6731
8600000US60137,60137,ZCTA5 60137,38335,4186,34149
8600000US60139,60139,ZCTA5 60139,34865,2682,32183
8600000US60140,60140,ZCTA5 60140,14050,1197,12853
8600000US60141,60141,ZCTA5 60141,86,3,83
8600000US60142,60142,ZCTA5 60142,26654,3765,22889
8600000US60143,60143,ZCTA5 60143,10037,963,9074
8600000US60144,60144,ZCTA5 60144,64,2,62
8600000US60145,60145,ZCTA5 60145,2408,156,2252
8600000US60146,60146,ZCTA5 60146,2585,256,2329
8600000US60148,60148,ZCTA5 60148,52087,5711,46376
8600000US60150,60150,ZCTA5 60150,1589,158,1431
8600000US60151,60151,ZCTA5 60151,4235,293,3942
8600000US60152,60152,ZCTA5 60152,12840,1019,11821
8600000US60153,60153,ZCTA5 60153,24152,2416,21736
8600000US60154,60154,ZCTA5 60154,16696,1836,14860
8600000US60155,60155,ZCTA5 60155,7931,1150,6781
8600000US60156,60156,ZCTA5 60156,28850,1896,26954
8600000US60157,60157,ZCTA5 60157,2116,288,1828
8600000US60160,60160,ZCTA5 60160,25431,1626,23805
8600000US60162,60162,ZCTA5 60162,7871,698,7173
8600000US60163,60163,ZCTA5 60163,5194,362,4832
8600000US60164,60164,ZCTA5 60164,21876,1788,20088
