GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - One or more health insurance items allocated,Estimate; Total: - No health insurance items allocated
8600000US60002,60002,ZCTA5 60002,24217,3222,20995
8600000US60004,60004,ZCTA5 60004,50449,6338,44111
8600000US60005,60005,ZCTA5 60005,29946,4385,25561
8600000US60007,60007,ZCTA5 60007,33463,4997,28466
8600000US60008,60008,ZCTA5 60008,21767,2478,19289
8600000US60010,60010,ZCTA5 60010,45422,6833,38589
8600000US60012,60012,ZCTA5 60012,10646,934,9712
8600000US60013,60013,ZCTA5 60013,26166,3010,23156
8600000US60014,60014,ZCTA5 60014,48367,6298,42069
8600000US60015,60015,ZCTA5 60015,27165,3683,23482
8600000US60016,60016,ZCTA5 60016,58581,7065,51516
8600000US60018,60018,ZCTA5 60018,30564,3540,27024
8600000US60020,60020,ZCTA5 60020,9714,1649,8065
8600000US60021,60021,ZCTA5 60021,5547,1060,4487
8600000US60022,60022,ZCTA5 60022,8563,882,7681
8600000US60025,60025,ZCTA5 60025,40802,5312,35490
8600000US60026,60026,ZCTA5 60026,13974,1918,12056
8600000US60029,60029,ZCTA5 60029,521,52,469
8600000US60030,60030,ZCTA5 60030,37125,4979,32146
8600000US60031,60031,ZCTA5 60031,37333,3888,33445
8600000US60033,60033,ZCTA5 60033,13596,2362,11234
8600000US60034,60034,ZCTA5 60034,2084,302,1782
8600000US60035,60035,ZCTA5 60035,29480,4501,24979
8600000US60040,60040,ZCTA5 60040,5288,630,4658
8600000US60041,60041,ZCTA5 60041,8772,1248,7524
8600000US60042,60042,ZCTA5 60042,8321,980,7341
8600000US60043,60043,ZCTA5 60043,2547,200,2347
8600000US60044,60044,ZCTA5 60044,9744,1591,8153
8600000US60045,60045,ZCTA5 60045,20744,3099,17645
8600000US60046,60046,ZCTA5 60046,34758,3712,31046
8600000US60047,60047,ZCTA5 60047,41985,4825,37160
8600000US60048,60048,ZCTA5 60048,28699,3878,24821
8600000US60050,60050,ZCTA5 60050,32608,3465,29143
8600000US60051,60051,ZCTA5 60051,23624,2419,21205
8600000US60053,60053,ZCTA5 60053,23258,3586,19672
8600000US60056,60056,ZCTA5 60056,55195,7827,47368
8600000US60060,60060,ZCTA5 60060,37138,4532,32606
8600000US60061,60061,ZCTA5 60061,26918,3021,23897
8600000US60062,60062,ZCTA5 60062,39603,6329,33274
8600000US60064,60064,ZCTA5 60064,15589,2110,13479
8600000US60067,60067,ZCTA5 60067,37576,4389,33187
8600000US60068,60068,ZCTA5 60068,37376,4563,32813
8600000US60069,60069,ZCTA5 60069,7839,916,6923
8600000US60070,60070,ZCTA5 60070,16133,2146,13987
8600000US60071,60071,ZCTA5 60071,3592,354,3238
8600000US60072,60072,ZCTA5 60072,979,162,817
8600000US60073,60073,ZCTA5 60073,61443,6550,54893
8600000US60074,60074,ZCTA5 60074,39812,4578,35234
8600000US60076,60076,ZCTA5 60076,31687,4277,27410
8600000US60077,60077,ZCTA5 60077,28303,4432,23871
8600000US60081,60081,ZCTA5 60081,9838,1229,8609
8600000US60083,60083,ZCTA5 60083,10390,1152,9238
8600000US60084,60084,ZCTA5 60084,16800,1815,14985
8600000US60085,60085,ZCTA5 60085,69916,7207,62709
8600000US60087,60087,ZCTA5 60087,25923,3547,22376
8600000US60088,60088,ZCTA5 60088,2787,216,2571
8600000US60089,60089,ZCTA5 60089,41485,5192,36293
8600000US60090,60090,ZCTA5 60090,37793,4620,33173
8600000US60091,60091,ZCTA5 60091,27251,3720,23531
8600000US60093,60093,ZCTA5 60093,19404,2853,16551
8600000US60096,60096,ZCTA5 60096,7009,1436,5573
8600000US60097,60097,ZCTA5 60097,10447,1823,8624
8600000US60098,60098,ZCTA5 60098,32166,4001,28165
8600000US60099,60099,ZCTA5 60099,30612,3419,27193
8600000US60101,60101,ZCTA5 60101,39349,6889,32460
8600000US60102,60102,ZCTA5 60102,32958,3972,28986
8600000US60103,60103,ZCTA5 60103,42338,5099,37239
8600000US60104,60104,ZCTA5 60104,18937,2569,16368
8600000US60106,60106,ZCTA5 60106,20037,3072,16965
8600000US60107,60107,ZCTA5 60107,40707,6020,34687
8600000US60108,60108,ZCTA5 60108,22214,3399,18815
8600000US60109,60109,ZCTA5 60109,635,18,617
8600000US60110,60110,ZCTA5 60110,39347,4210,35137
8600000US60111,60111,ZCTA5 60111,183,57,126
8600000US60112,60112,ZCTA5 60112,4416,656,3760
8600000US60113,60113,ZCTA5 60113,353,29,324
8600000US60115,60115,ZCTA5 60115,45235,6823,38412
8600000US60118,60118,ZCTA5 60118,15817,2083,13734
8600000US60119,60119,ZCTA5 60119,10192,832,9360
8600000US60120,60120,ZCTA5 60120,51047,5525,45522
8600000US60123,60123,ZCTA5 60123,47275,6216,41059
8600000US60124,60124,ZCTA5 60124,21731,2572,19159
8600000US60126,60126,ZCTA5 60126,47874,6996,40878
