GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US60002,60002,ZCTA5 60002,24250,418
8600000US60004,60004,ZCTA5 60004,49957,841
8600000US60005,60005,ZCTA5 60005,30931,711
8600000US60007,60007,ZCTA5 60007,33973,388
8600000US60008,60008,ZCTA5 60008,22302,460
8600000US60010,60010,ZCTA5 60010,44031,908
8600000US60012,60012,ZCTA5 60012,11081,690
8600000US60013,60013,ZCTA5 60013,26811,576
8600000US60014,60014,ZCTA5 60014,48234,724
8600000US60015,60015,ZCTA5 60015,27218,490
8600000US60016,60016,ZCTA5 60016,60794,890
8600000US60018,60018,ZCTA5 60018,28749,933
8600000US60020,60020,ZCTA5 60020,10391,562
8600000US60021,60021,ZCTA5 60021,5560,336
8600000US60022,60022,ZCTA5 60022,8327,137
8600000US60025,60025,ZCTA5 60025,38667,870
8600000US60026,60026,ZCTA5 60026,13869,734
8600000US60029,60029,ZCTA5 60029,435,86
8600000US60030,60030,ZCTA5 60030,35685,788
8600000US60031,60031,ZCTA5 60031,38205,695
8600000US60033,60033,ZCTA5 60033,13763,404
8600000US60034,60034,ZCTA5 60034,1826,243
8600000US60035,60035,ZCTA5 60035,29814,79
8600000US60040,60040,ZCTA5 60040,5439,88
8600000US60041,60041,ZCTA5 60041,8877,536
8600000US60042,60042,ZCTA5 60042,8630,309
8600000US60043,60043,ZCTA5 60043,2786,185
8600000US60044,60044,ZCTA5 60044,9867,285
8600000US60045,60045,ZCTA5 60045,20732,373
8600000US60046,60046,ZCTA5 60046,34534,560
8600000US60047,60047,ZCTA5 60047,42206,545
8600000US60048,60048,ZCTA5 60048,29480,467
8600000US60050,60050,ZCTA5 60050,32369,644
8600000US60051,60051,ZCTA5 60051,24664,698
8600000US60053,60053,ZCTA5 60053,23341,43
8600000US60056,60056,ZCTA5 60056,55611,382
8600000US60060,60060,ZCTA5 60060,37586,900
8600000US60061,60061,ZCTA5 60061,26029,224
8600000US60062,60062,ZCTA5 60062,40095,492
8600000US60064,60064,ZCTA5 60064,16297,561
8600000US60067,60067,ZCTA5 60067,38450,919
8600000US60068,60068,ZCTA5 60068,37421,309
8600000US60069,60069,ZCTA5 60069,8132,445
8600000US60070,60070,ZCTA5 60070,15937,173
8600000US60071,60071,ZCTA5 60071,3488,163
8600000US60072,60072,ZCTA5 60072,976,244
8600000US60073,60073,ZCTA5 60073,60237,631
8600000US60074,60074,ZCTA5 60074,39053,898
8600000US60076,60076,ZCTA5 60076,32922,970
8600000US60077,60077,ZCTA5 60077,27189,946
8600000US60081,60081,ZCTA5 60081,9939,294
8600000US60083,60083,ZCTA5 60083,9909,715
8600000US60084,60084,ZCTA5 60084,16304,570
8600000US60085,60085,ZCTA5 60085,70997,1342
8600000US60087,60087,ZCTA5 60087,26679,1396
8600000US60088,60088,ZCTA5 60088,13274,536
8600000US60089,60089,ZCTA5 60089,41645,99
8600000US60090,60090,ZCTA5 60090,37744,45
8600000US60091,60091,ZCTA5 60091,27268,109
8600000US60093,60093,ZCTA5 60093,19010,435
8600000US60096,60096,ZCTA5 60096,7001,173
8600000US60097,60097,ZCTA5 60097,10758,559
8600000US60098,60098,ZCTA5 60098,32549,635
8600000US60099,60099,ZCTA5 60099,31593,745
8600000US60101,60101,ZCTA5 60101,39657,719
8600000US60102,60102,ZCTA5 60102,32166,457
8600000US60103,60103,ZCTA5 60103,42209,307
8600000US60104,60104,ZCTA5 60104,19061,85
8600000US60106,60106,ZCTA5 60106,20276,460
8600000US60107,60107,ZCTA5 60107,40677,466
8600000US60108,60108,ZCTA5 60108,22975,370
8600000US60109,60109,ZCTA5 60109,567,140
8600000US60110,60110,ZCTA5 60110,38998,388
8600000US60111,60111,ZCTA5 60111,376,169
8600000US60112,60112,ZCTA5 60112,4674,269
8600000US60113,60113,ZCTA5 60113,309,109
8600000US60115,60115,ZCTA5 60115,46267,503
8600000US60118,60118,ZCTA5 60118,15587,439
8600000US60119,60119,ZCTA5 60119,10357,591
8600000US60120,60120,ZCTA5 60120,51216,984
8600000US60123,60123,ZCTA5 60123,48053,1286
8600000US60124,60124,ZCTA5 60124,19618,1120
8600000US60126,60126,ZCTA5 60126,46450,371
8600000US60129,60129,ZCTA5 60129,184,64
8600000US60130,60130,ZCTA5 60130,14202,32
8600000US60131,60131,ZCTA5 60131,18068,185
8600000US60133,60133,ZCTA5 60133,38369,192
8600000US60134,60134,ZCTA5 60134,29339,585
8600000US60135,60135,ZCTA5 60135,7174,322
8600000US60136,60136,ZCTA5 60136,7093,134
8600000US60137,60137,ZCTA5 60137,38384,864
8600000US60139,60139,ZCTA5 60139,34867,400
8600000US60140,60140,ZCTA5 60140,14050,651
8600000US60141,60141,ZCTA5 60141,190,111
8600000US60142,60142,ZCTA5 60142,26708,624
8600000US60143,60143,ZCTA5 60143,10128,368
8600000US60144,60144,ZCTA5 60144,64,42
8600000US60145,60145,ZCTA5 60145,2408,296
8600000US60146,60146,ZCTA5 60146,2585,287
8600000US60148,60148,ZCTA5 60148,52390,904
8600000US60150,60150,ZCTA5 60150,1589,184
8600000US60151,60151,ZCTA5 60151,4235,358
8600000US60152,60152,ZCTA5 60152,12899,526
8600000US60153,60153,ZCTA5 60153,24152,29
8600000US60154,60154,ZCTA5 60154,16804,104
8600000US60155,60155,ZCTA5 60155,7931,36
8600000US60156,60156,ZCTA5 60156,28886,163
8600000US60157,60157,ZCTA5 60157,2116,338
8600000US60160,60160,ZCTA5 60160,25459,90
8600000US60162,60162,ZCTA5 60162,8110,100
8600000US60163,60163,ZCTA5 60163,5218,20
8600000US60164,60164,ZCTA5 60164,22116,472
8600000US60165,60165,ZCTA5 60165,4947,16
8600000US60169,60169,ZCTA5 60169,34103,121
