GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - One or more health insurance items imputed,Estimate; Total: - No health insurance items imputed
8600000US60002,60002,ZCTA5 60002,24287,2776,21511
8600000US60004,60004,ZCTA5 60004,49785,5293,44492
8600000US60005,60005,ZCTA5 60005,30227,3552,26675
8600000US60007,60007,ZCTA5 60007,33687,3378,30309
8600000US60008,60008,ZCTA5 60008,22212,2119,20093
8600000US60010,60010,ZCTA5 60010,44225,5412,38813
8600000US60012,60012,ZCTA5 60012,11276,924,10352
8600000US60013,60013,ZCTA5 60013,26241,1945,24296
8600000US60014,60014,ZCTA5 60014,48226,4869,43357
8600000US60015,60015,ZCTA5 60015,27095,3756,23339
8600000US60016,60016,ZCTA5 60016,60937,5901,55036
8600000US60018,60018,ZCTA5 60018,28603,3089,25514
8600000US60020,60020,ZCTA5 60020,10209,1220,8989
8600000US60021,60021,ZCTA5 60021,5724,701,5023
8600000US60022,60022,ZCTA5 60022,8383,896,7487
8600000US60025,60025,ZCTA5 60025,39010,4148,34862
8600000US60026,60026,ZCTA5 60026,13431,1346,12085
8600000US60029,60029,ZCTA5 60029,478,18,460
8600000US60030,60030,ZCTA5 60030,36532,3046,33486
8600000US60031,60031,ZCTA5 60031,37819,2977,34842
8600000US60033,60033,ZCTA5 60033,13686,1292,12394
8600000US60034,60034,ZCTA5 60034,1795,138,1657
8600000US60035,60035,ZCTA5 60035,29573,3979,25594
8600000US60040,60040,ZCTA5 60040,5313,561,4752
8600000US60041,60041,ZCTA5 60041,8655,1129,7526
8600000US60042,60042,ZCTA5 60042,8489,585,7904
8600000US60043,60043,ZCTA5 60043,2648,235,2413
8600000US60044,60044,ZCTA5 60044,9571,969,8602
8600000US60045,60045,ZCTA5 60045,20436,2604,17832
8600000US60046,60046,ZCTA5 60046,34672,3186,31486
8600000US60047,60047,ZCTA5 60047,41603,3998,37605
8600000US60048,60048,ZCTA5 60048,28901,2414,26487
8600000US60050,60050,ZCTA5 60050,32040,2923,29117
8600000US60051,60051,ZCTA5 60051,24783,1979,22804
8600000US60053,60053,ZCTA5 60053,23299,2956,20343
8600000US60056,60056,ZCTA5 60056,55598,5742,49856
8600000US60060,60060,ZCTA5 60060,37879,3544,34335
8600000US60061,60061,ZCTA5 60061,26076,2652,23424
8600000US60062,60062,ZCTA5 60062,39483,5002,34481
8600000US60064,60064,ZCTA5 60064,15691,1571,14120
8600000US60067,60067,ZCTA5 60067,38084,3853,34231
8600000US60068,60068,ZCTA5 60068,37091,3596,33495
8600000US60069,60069,ZCTA5 60069,8138,1122,7016
8600000US60070,60070,ZCTA5 60070,15931,1487,14444
