GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - One or more health insurance items imputed,Estimate; Total: - No health insurance items imputed
8600000US60002,60002,ZCTA5 60002,23878,2356,21522
8600000US60004,60004,ZCTA5 60004,49241,4067,45174
8600000US60005,60005,ZCTA5 60005,30219,2628,27591
8600000US60007,60007,ZCTA5 60007,33711,3168,30543
8600000US60008,60008,ZCTA5 60008,22140,2255,19885
8600000US60010,60010,ZCTA5 60010,44136,4515,39621
8600000US60012,60012,ZCTA5 60012,11080,927,10153
8600000US60013,60013,ZCTA5 60013,26975,1673,25302
8600000US60014,60014,ZCTA5 60014,48644,3804,44840
8600000US60015,60015,ZCTA5 60015,26887,3045,23842
8600000US60016,60016,ZCTA5 60016,60057,5723,54334
8600000US60018,60018,ZCTA5 60018,28492,2465,26027
8600000US60020,60020,ZCTA5 60020,10515,905,9610
8600000US60021,60021,ZCTA5 60021,5680,435,5245
8600000US60022,60022,ZCTA5 60022,8201,811,7390
8600000US60025,60025,ZCTA5 60025,38430,3528,34902
8600000US60026,60026,ZCTA5 60026,13051,1054,11997
8600000US60029,60029,ZCTA5 60029,567,51,516
8600000US60030,60030,ZCTA5 60030,35345,2796,32549
8600000US60031,60031,ZCTA5 60031,37875,2828,35047
8600000US60033,60033,ZCTA5 60033,13824,1099,12725
8600000US60034,60034,ZCTA5 60034,1830,126,1704
8600000US60035,60035,ZCTA5 60035,29679,3276,26403
8600000US60040,60040,ZCTA5 60040,5366,556,4810
8600000US60041,60041,ZCTA5 60041,8942,1083,7859
8600000US60042,60042,ZCTA5 60042,8680,436,8244
8600000US60043,60043,ZCTA5 60043,2669,221,2448
8600000US60044,60044,ZCTA5 60044,9921,908,9013
8600000US60045,60045,ZCTA5 60045,20693,2641,18052
8600000US60046,60046,ZCTA5 60046,34686,2438,32248
8600000US60047,60047,ZCTA5 60047,41119,3344,37775
8600000US60048,60048,ZCTA5 60048,28824,2272,26552
8600000US60050,60050,ZCTA5 60050,32073,2772,29301
8600000US60051,60051,ZCTA5 60051,24185,2149,22036
8600000US60053,60053,ZCTA5 60053,23053,2327,20726
8600000US60056,60056,ZCTA5 60056,55139,4959,50180
8600000US60060,60060,ZCTA5 60060,38125,2996,35129
8600000US60061,60061,ZCTA5 60061,25623,2038,23585
8600000US60062,60062,ZCTA5 60062,39359,4109,35250
8600000US60064,60064,ZCTA5 60064,16084,1642,14442
8600000US60067,60067,ZCTA5 60067,37894,3290,34604
8600000US60068,60068,ZCTA5 60068,36845,3542,33303
8600000US60069,60069,ZCTA5 60069,7956,1233,6723
8600000US60070,60070,ZCTA5 60070,15854,1371,14483
8600000US60071,60071,ZCTA5 60071,3507,343,3164
8600000US60072,60072,ZCTA5 60072,980,41,939
8600000US60073,60073,ZCTA5 60073,58838,4193,54645
