GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - One or more health insurance items allocated,Estimate; Total: - No health insurance items allocated
8600000US60002,60002,ZCTA5 60002,24352,2829,21523
8600000US60004,60004,ZCTA5 60004,50470,5892,44578
8600000US60005,60005,ZCTA5 60005,29728,4190,25538
8600000US60007,60007,ZCTA5 60007,33546,4549,28997
8600000US60008,60008,ZCTA5 60008,21854,2240,19614
8600000US60010,60010,ZCTA5 60010,44676,6171,38505
8600000US60012,60012,ZCTA5 60012,10675,893,9782
8600000US60013,60013,ZCTA5 60013,25968,2688,23280
8600000US60014,60014,ZCTA5 60014,48649,6139,42510
8600000US60015,60015,ZCTA5 60015,27184,3755,23429
8600000US60016,60016,ZCTA5 60016,59129,6190,52939
8600000US60018,60018,ZCTA5 60018,30123,3181,26942
8600000US60020,60020,ZCTA5 60020,9569,1279,8290
8600000US60021,60021,ZCTA5 60021,5709,1080,4629
8600000US60022,60022,ZCTA5 60022,8503,821,7682
8600000US60025,60025,ZCTA5 60025,39690,4749,34941
8600000US60026,60026,ZCTA5 60026,14100,1666,12434
8600000US60029,60029,ZCTA5 60029,531,41,490
8600000US60030,60030,ZCTA5 60030,36796,4570,32226
8600000US60031,60031,ZCTA5 60031,37301,3538,33763
8600000US60033,60033,ZCTA5 60033,13569,2107,11462
8600000US60034,60034,ZCTA5 60034,1948,260,1688
8600000US60035,60035,ZCTA5 60035,29540,4035,25505
8600000US60040,60040,ZCTA5 60040,5292,583,4709
8600000US60041,60041,ZCTA5 60041,9276,1528,7748
8600000US60042,60042,ZCTA5 60042,8296,873,7423
8600000US60043,60043,ZCTA5 60043,2613,240,2373
8600000US60044,60044,ZCTA5 60044,9545,1293,8252
8600000US60045,60045,ZCTA5 60045,20559,2808,17751
8600000US60046,60046,ZCTA5 60046,34978,3670,31308
8600000US60047,60047,ZCTA5 60047,41703,4546,37157
8600000US60048,60048,ZCTA5 60048,28734,3450,25284
8600000US60050,60050,ZCTA5 60050,32217,3196,29021
8600000US60051,60051,ZCTA5 60051,24148,2284,21864
8600000US60053,60053,ZCTA5 60053,23289,3555,19734
8600000US60056,60056,ZCTA5 60056,55344,6770,48574
8600000US60060,60060,ZCTA5 60060,37670,4487,33183
8600000US60061,60061,ZCTA5 60061,26641,3078,23563
8600000US60062,60062,ZCTA5 60062,39869,5881,33988
8600000US60064,60064,ZCTA5 60064,15626,1860,13766
8600000US60067,60067,ZCTA5 60067,37767,4065,33702
8600000US60068,60068,ZCTA5 60068,37144,4064,33080
8600000US60069,60069,ZCTA5 60069,8057,1010,7047
8600000US60070,60070,ZCTA5 60070,16100,1841,14259
8600000US60071,60071,ZCTA5 60071,3576,363,3213
8600000US60072,60072,ZCTA5 60072,955,107,848
8600000US60073,60073,ZCTA5 60073,60548,5910,54638
8600000US60074,60074,ZCTA5 60074,39541,3639,35902
8600000US60076,60076,ZCTA5 60076,32090,4058,28032
8600000US60077,60077,ZCTA5 60077,28111,3989,24122
8600000US60081,60081,ZCTA5 60081,9840,1047,8793
8600000US60083,60083,ZCTA5 60083,10561,1077,9484
8600000US60084,60084,ZCTA5 60084,16295,1496,14799
8600000US60085,60085,ZCTA5 60085,70073,5917,64156
8600000US60087,60087,ZCTA5 60087,25427,2957,22470
8600000US60088,60088,ZCTA5 60088,2871,197,2674
8600000US60089,60089,ZCTA5 60089,41525,5189,36336
8600000US60090,60090,ZCTA5 60090,37520,3954,33566
8600000US60091,60091,ZCTA5 60091,27226,3142,24084
8600000US60093,60093,ZCTA5 60093,19204,2558,16646
8600000US60096,60096,ZCTA5 60096,6854,1192,5662
8600000US60097,60097,ZCTA5 60097,10352,1856,8496
8600000US60098,60098,ZCTA5 60098,31776,3065,28711
8600000US60099,60099,ZCTA5 60099,30783,3243,27540
8600000US60101,60101,ZCTA5 60101,39591,6376,33215
8600000US60102,60102,ZCTA5 60102,32618,3780,28838
8600000US60103,60103,ZCTA5 60103,42377,4337,38040
8600000US60104,60104,ZCTA5 60104,18916,2031,16885
8600000US60106,60106,ZCTA5 60106,20008,3009,16999
8600000US60107,60107,ZCTA5 60107,40643,5601,35042
8600000US60108,60108,ZCTA5 60108,22348,3283,19065
8600000US60109,60109,ZCTA5 60109,553,30,523
8600000US60110,60110,ZCTA5 60110,39473,4222,35251
8600000US60111,60111,ZCTA5 60111,199,53,146
8600000US60112,60112,ZCTA5 60112,4536,523,4013
8600000US60113,60113,ZCTA5 60113,350,27,323
8600000US60115,60115,ZCTA5 60115,45447,6403,39044
8600000US60118,60118,ZCTA5 60118,15687,1859,13828
8600000US60119,60119,ZCTA5 60119,10169,773,9396
8600000US60120,60120,ZCTA5 60120,50614,4947,45667
8600000US60123,60123,ZCTA5 60123,47974,6028,41946
8600000US60124,60124,ZCTA5 60124,20752,2263,18489
8600000US60126,60126,ZCTA5 60126,47424,6269,41155
8600000US60129,60129,ZCTA5 60129,186,21,165
8600000US60130,60130,ZCTA5 60130,13949,1547,12402
8600000US60131,60131,ZCTA5 60131,18072,1970,16102
8600000US60133,60133,ZCTA5 60133,38468,4465,34003
8600000US60134,60134,ZCTA5 60134,29011,3541,25470
8600000US60135,60135,ZCTA5 60135,6553,873,5680
8600000US60136,60136,ZCTA5 60136,7479,522,6957
8600000US60137,60137,ZCTA5 60137,37775,4600,33175
8600000US60139,60139,ZCTA5 60139,34614,3739,30875
8600000US60140,60140,ZCTA5 60140,15985,1225,14760
8600000US60141,60141,ZCTA5 60141,86,0,86
8600000US60142,60142,ZCTA5 60142,27337,5228,22109
8600000US60143,60143,ZCTA5 60143,10275,1400,8875
8600000US60144,60144,ZCTA5 60144,64,2,62
8600000US60145,60145,ZCTA5 60145,2986,408,2578
8600000US60146,60146,ZCTA5 60146,2566,244,2322
8600000US60148,60148,ZCTA5 60148,52183,7339,44844
8600000US60150,60150,ZCTA5 60150,1583,173,1410
8600000US60151,60151,ZCTA5 60151,4184,540,3644
8600000US60152,60152,ZCTA5 60152,12600,1783,10817
8600000US60153,60153,ZCTA5 60153,23983,3025,20958
8600000US60154,60154,ZCTA5 60154,16657,2318,14339
8600000US60155,60155,ZCTA5 60155,7915,1117,6798
8600000US60156,60156,ZCTA5 60156,28786,2276,26510
8600000US60157,60157,ZCTA5 60157,2293,373,1920
8600000US60160,60160,ZCTA5 60160,25489,2161,23328
8600000US60162,60162,ZCTA5 60162,7921,862,7059
8600000US60163,60163,ZCTA5 60163,5166,389,4777
8600000US60164,60164,ZCTA5 60164,21460,2016,19444
8600000US60165,60165,ZCTA5 60165,4936,248,4688
8600000US60169,60169,ZCTA5 60169,33866,3394,30472
8600000US60171,60171,ZCTA5 60171,10248,997,9251
8600000US60172,60172,ZCTA5 60172,24960,2470,22490
8600000US60173,60173,ZCTA5 60173,12228,1629,10599
8600000US60174,60174,ZCTA5 60174,30854,3934,26920
8600000US60175,60175,ZCTA5 60175,25557,3308,22249
8600000US60176,60176,ZCTA5 60176,11813,1831,9982
8600000US60177,60177,ZCTA5 60177,22800,2166,20634
8600000US60178,60178,ZCTA5 60178,22078,2044,20034
8600000US60180,60180,ZCTA5 60180,2030,197,1833
8600000US60181,60181,ZCTA5 60181,28667,2969,25698
8600000US60184,60184,ZCTA5 60184,2490,271,2219
8600000US60185,60185,ZCTA5 60185,35817,4025,31792
8600000US60187,60187,ZCTA5 60187,28000,3568,24432
8600000US60188,60188,ZCTA5 60188,42997,5234,37763
8600000US60189,60189,ZCTA5 60189,31559,3565,27994
8600000US60190,60190,ZCTA5 60190,10881,1490,9391
8600000US60191,60191,ZCTA5 60191,14429,1994,12435
8600000US60192,60192,ZCTA5 60192,16235,1837,14398
8600000US60193,60193,ZCTA5 60193,39993,4625,35368
8600000US60194,60194,ZCTA5 60194,18815,1978,16837
8600000US60195,60195,ZCTA5 60195,4783,446,4337
8600000US60201,60201,ZCTA5 60201,42330,5425,36905
8600000US60202,60202,ZCTA5 60202,31766,3519,28247
8600000US60203,60203,ZCTA5 60203,4089,675,3414
8600000US60301,60301,ZCTA5 60301,2307,294,2013
8600000US60302,60302,ZCTA5 60302,32038,3057,28981
8600000US60304,60304,ZCTA5 60304,17361,1971,15390
8600000US60305,60305,ZCTA5 60305,11217,1612,9605
8600000US60401,60401,ZCTA5 60401,7540,1013,6527
8600000US60402,60402,ZCTA5 60402,63844,5700,58144
8600000US60403,60403,ZCTA5 60403,16859,2428,14431
8600000US60404,60404,ZCTA5 60404,18187,1965,16222
8600000US60406,60406,ZCTA5 60406,24590,2454,22136
8600000US60407,60407,ZCTA5 60407,1860,225,1635
8600000US60408,60408,ZCTA5 60408,5522,627,4895
8600000US60409,60409,ZCTA5 60409,37250,4702,32548
8600000US60410,60410,ZCTA5 60410,12656,1732,10924
8600000US60411,60411,ZCTA5 60411,58175,6646,51529
8600000US60415,60415,ZCTA5 60415,13927,1849,12078
