GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US60002,60002,ZCTA5 60002,24340,435
8600000US60004,60004,ZCTA5 60004,50639,867
8600000US60005,60005,ZCTA5 60005,29942,786
8600000US60007,60007,ZCTA5 60007,33952,299
8600000US60008,60008,ZCTA5 60008,22043,617
8600000US60010,60010,ZCTA5 60010,44331,860
8600000US60012,60012,ZCTA5 60012,10960,542
8600000US60013,60013,ZCTA5 60013,26242,607
8600000US60014,60014,ZCTA5 60014,48868,781
8600000US60015,60015,ZCTA5 60015,27356,477
8600000US60016,60016,ZCTA5 60016,61096,970
8600000US60018,60018,ZCTA5 60018,29351,895
8600000US60020,60020,ZCTA5 60020,9875,560
8600000US60021,60021,ZCTA5 60021,5455,312
8600000US60022,60022,ZCTA5 60022,8486,134
8600000US60025,60025,ZCTA5 60025,39525,904
8600000US60026,60026,ZCTA5 60026,14376,627
8600000US60029,60029,ZCTA5 60029,469,91
8600000US60030,60030,ZCTA5 60030,36649,801
8600000US60031,60031,ZCTA5 60031,37800,604
8600000US60033,60033,ZCTA5 60033,13630,462
8600000US60034,60034,ZCTA5 60034,1872,250
8600000US60035,60035,ZCTA5 60035,29806,70
8600000US60040,60040,ZCTA5 60040,5391,25
8600000US60041,60041,ZCTA5 60041,9192,567
8600000US60042,60042,ZCTA5 60042,8603,285
8600000US60043,60043,ZCTA5 60043,2653,151
8600000US60044,60044,ZCTA5 60044,9715,247
8600000US60045,60045,ZCTA5 60045,20514,342
8600000US60046,60046,ZCTA5 60046,35013,555
8600000US60047,60047,ZCTA5 60047,42330,588
8600000US60048,60048,ZCTA5 60048,28966,464
8600000US60050,60050,ZCTA5 60050,31809,501
8600000US60051,60051,ZCTA5 60051,24769,619
8600000US60053,60053,ZCTA5 60053,23472,37
8600000US60056,60056,ZCTA5 60056,55803,384
8600000US60060,60060,ZCTA5 60060,38138,838
8600000US60061,60061,ZCTA5 60061,26352,201
8600000US60062,60062,ZCTA5 60062,40344,587
8600000US60064,60064,ZCTA5 60064,15954,415
8600000US60067,60067,ZCTA5 60067,37899,1007
8600000US60068,60068,ZCTA5 60068,37608,276
8600000US60069,60069,ZCTA5 60069,8572,404
8600000US60070,60070,ZCTA5 60070,16147,117
8600000US60071,60071,ZCTA5 60071,3520,185
8600000US60072,60072,ZCTA5 60072,910,197
8600000US60073,60073,ZCTA5 60073,61118,704
8600000US60074,60074,ZCTA5 60074,39757,982
8600000US60076,60076,ZCTA5 60076,32523,905
8600000US60077,60077,ZCTA5 60077,28053,868
8600000US60081,60081,ZCTA5 60081,9874,370
8600000US60083,60083,ZCTA5 60083,10676,626
8600000US60084,60084,ZCTA5 60084,15695,546
8600000US60085,60085,ZCTA5 60085,71051,1165
8600000US60087,60087,ZCTA5 60087,26545,1214
8600000US60088,60088,ZCTA5 60088,12556,420
8600000US60089,60089,ZCTA5 60089,41594,73
8600000US60090,60090,ZCTA5 60090,38014,73
8600000US60091,60091,ZCTA5 60091,27350,158
8600000US60093,60093,ZCTA5 60093,19447,506
8600000US60096,60096,ZCTA5 60096,6871,45
8600000US60097,60097,ZCTA5 60097,10623,606
8600000US60098,60098,ZCTA5 60098,32354,799
8600000US60099,60099,ZCTA5 60099,31147,572
8600000US60101,60101,ZCTA5 60101,39918,607
8600000US60102,60102,ZCTA5 60102,32813,511
8600000US60103,60103,ZCTA5 60103,42429,281
8600000US60104,60104,ZCTA5 60104,19025,158
8600000US60106,60106,ZCTA5 60106,20083,308
8600000US60107,60107,ZCTA5 60107,41320,582
8600000US60108,60108,ZCTA5 60108,23213,302
8600000US60109,60109,ZCTA5 60109,585,135
8600000US60110,60110,ZCTA5 60110,39334,393
8600000US60111,60111,ZCTA5 60111,296,135
8600000US60112,60112,ZCTA5 60112,4598,267
8600000US60113,60113,ZCTA5 60113,334,88
8600000US60115,60115,ZCTA5 60115,45982,434
8600000US60118,60118,ZCTA5 60118,15681,512
8600000US60119,60119,ZCTA5 60119,9812,650
8600000US60120,60120,ZCTA5 60120,50564,1069
8600000US60123,60123,ZCTA5 60123,48890,1252
8600000US60124,60124,ZCTA5 60124,20912,1181
8600000US60126,60126,ZCTA5 60126,47403,379
8600000US60129,60129,ZCTA5 60129,163,44
8600000US60130,60130,ZCTA5 60130,14194,31
8600000US60131,60131,ZCTA5 60131,18125,184
8600000US60133,60133,ZCTA5 60133,38488,146
8600000US60134,60134,ZCTA5 60134,29769,590
8600000US60135,60135,ZCTA5 60135,6807,470
8600000US60136,60136,ZCTA5 60136,7338,122
8600000US60137,60137,ZCTA5 60137,38103,795
8600000US60139,60139,ZCTA5 60139,34925,278
8600000US60140,60140,ZCTA5 60140,15224,805
8600000US60141,60141,ZCTA5 60141,151,99
8600000US60142,60142,ZCTA5 60142,27080,790
8600000US60143,60143,ZCTA5 60143,10435,406
8600000US60144,60144,ZCTA5 60144,72,43
8600000US60145,60145,ZCTA5 60145,2654,293
8600000US60146,60146,ZCTA5 60146,2587,261
8600000US60148,60148,ZCTA5 60148,52510,930
8600000US60150,60150,ZCTA5 60150,1557,190
8600000US60151,60151,ZCTA5 60151,4263,428
8600000US60152,60152,ZCTA5 60152,12943,732
8600000US60153,60153,ZCTA5 60153,24148,32
8600000US60154,60154,ZCTA5 60154,16833,89
8600000US60155,60155,ZCTA5 60155,7947,26
8600000US60156,60156,ZCTA5 60156,28900,112
8600000US60157,60157,ZCTA5 60157,2097,331
8600000US60160,60160,ZCTA5 60160,25656,163
8600000US60162,60162,ZCTA5 60162,8140,82
8600000US60163,60163,ZCTA5 60163,5217,36
8600000US60164,60164,ZCTA5 60164,22035,439
8600000US60165,60165,ZCTA5 60165,4947,30
8600000US60169,60169,ZCTA5 60169,34164,97
8600000US60171,60171,ZCTA5 60171,10299,67
8600000US60172,60172,ZCTA5 60172,24793,350
8600000US60173,60173,ZCTA5 60173,12361,620
8600000US60174,60174,ZCTA5 60174,31747,740
8600000US60175,60175,ZCTA5 60175,26268,759
8600000US60176,60176,ZCTA5 60176,11834,48
8600000US60177,60177,ZCTA5 60177,22869,337
8600000US60178,60178,ZCTA5 60178,22174,551
8600000US60180,60180,ZCTA5 60180,1582,498
8600000US60181,60181,ZCTA5 60181,28756,476
8600000US60184,60184,ZCTA5 60184,2296,267
8600000US60185,60185,ZCTA5 60185,36012,499
8600000US60187,60187,ZCTA5 60187,28809,795
8600000US60188,60188,ZCTA5 60188,43198,476
8600000US60189,60189,ZCTA5 60189,31454,746
8600000US60190,60190,ZCTA5 60190,10819,334
8600000US60191,60191,ZCTA5 60191,14469,315
8600000US60192,60192,ZCTA5 60192,16695,588
8600000US60193,60193,ZCTA5 60193,39839,1079
