GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - One or more health insurance items imputed,Estimate; Total: - No health insurance items imputed
8600000US60142,60142,ZCTA5 60142,27009,4467,22542
8600000US60143,60143,ZCTA5 60143,10341,1417,8924
8600000US60144,60144,ZCTA5 60144,72,1,71
8600000US60145,60145,ZCTA5 60145,2654,350,2304
8600000US60146,60146,ZCTA5 60146,2587,254,2333
8600000US60148,60148,ZCTA5 60148,52201,6716,45485
8600000US60150,60150,ZCTA5 60150,1557,213,1344
8600000US60151,60151,ZCTA5 60151,4263,416,3847
8600000US60152,60152,ZCTA5 60152,12887,1363,11524
8600000US60153,60153,ZCTA5 60153,24123,2695,21428
8600000US60154,60154,ZCTA5 60154,16715,2416,14299
8600000US60155,60155,ZCTA5 60155,7947,1137,6810
8600000US60156,60156,ZCTA5 60156,28870,2363,26507
8600000US60157,60157,ZCTA5 60157,2097,329,1768
8600000US60160,60160,ZCTA5 60160,25612,1952,23660
8600000US60162,60162,ZCTA5 60162,7877,645,7232
8600000US60163,60163,ZCTA5 60163,5188,402,4786
8600000US60164,60164,ZCTA5 60164,21793,2025,19768
8600000US60165,60165,ZCTA5 60165,4947,179,4768
8600000US60169,60169,ZCTA5 60169,33969,2994,30975
8600000US60171,60171,ZCTA5 60171,10299,1203,9096
8600000US60172,60172,ZCTA5 60172,24721,2009,22712
8600000US60173,60173,ZCTA5 60173,12361,1351,11010
8600000US60174,60174,ZCTA5 60174,31553,3767,27786
8600000US60175,60175,ZCTA5 60175,25510,2935,22575
8600000US60176,60176,ZCTA5 60176,11834,1642,10192
8600000US60177,60177,ZCTA5 60177,22602,1993,20609
8600000US60178,60178,ZCTA5 60178,22051,1979,20072
8600000US60180,60180,ZCTA5 60180,1582,190,1392
8600000US60181,60181,ZCTA5 60181,28756,2881,25875
8600000US60184,60184,ZCTA5 60184,2296,178,2118
8600000US60185,60185,ZCTA5 60185,35667,4020,31647
8600000US60187,60187,ZCTA5 60187,28008,3404,24604
8600000US60188,60188,ZCTA5 60188,43105,4574,38531
8600000US60189,60189,ZCTA5 60189,31439,3457,27982
8600000US60190,60190,ZCTA5 60190,10675,1336,9339
8600000US60191,60191,ZCTA5 60191,14469,1939,12530
8600000US60192,60192,ZCTA5 60192,16695,1630,15065
8600000US60193,60193,ZCTA5 60193,39637,4209,35428
8600000US60194,60194,ZCTA5 60194,18942,1810,17132
8600000US60195,60195,ZCTA5 60195,4915,398,4517
8600000US60201,60201,ZCTA5 60201,42525,5155,37370
8600000US60202,60202,ZCTA5 60202,31716,3051,28665
8600000US60203,60203,ZCTA5 60203,4480,588,3892
8600000US60301,60301,ZCTA5 60301,2133,258,1875
8600000US60302,60302,ZCTA5 60302,32027,2680,29347
8600000US60304,60304,ZCTA5 60304,17632,1901,15731
8600000US60305,60305,ZCTA5 60305,11233,1496,9737
8600000US60401,60401,ZCTA5 60401,7583,755,6828
8600000US60402,60402,ZCTA5 60402,64088,4937,59151
8600000US60403,60403,ZCTA5 60403,17171,2257,14914
8600000US60404,60404,ZCTA5 60404,18016,1726,16290
8600000US60406,60406,ZCTA5 60406,25258,2389,22869
8600000US60407,60407,ZCTA5 60407,1940,221,1719
8600000US60408,60408,ZCTA5 60408,5559,618,4941
8600000US60409,60409,ZCTA5 60409,37447,4358,33089
8600000US60410,60410,ZCTA5 60410,13045,1575,11470
8600000US60411,60411,ZCTA5 60411,58332,6198,52134
8600000US60415,60415,ZCTA5 60415,13966,1872,12094
8600000US60416,60416,ZCTA5 60416,8997,735,8262
8600000US60417,60417,ZCTA5 60417,15928,2286,13642
8600000US60419,60419,ZCTA5 60419,22733,3035,19698
8600000US60420,60420,ZCTA5 60420,4886,493,4393
8600000US60421,60421,ZCTA5 60421,3954,361,3593
8600000US60422,60422,ZCTA5 60422,9440,1219,8221
8600000US60423,60423,ZCTA5 60423,30551,3346,27205
8600000US60424,60424,ZCTA5 60424,2348,269,2079
8600000US60425,60425,ZCTA5 60425,8889,1310,7579
8600000US60426,60426,ZCTA5 60426,29488,3583,25905
8600000US60428,60428,ZCTA5 60428,12308,1596,10712
8600000US60429,60429,ZCTA5 60429,15766,2216,13550
8600000US60430,60430,ZCTA5 60430,19908,2235,17673
8600000US60431,60431,ZCTA5 60431,23078,3237,19841
8600000US60432,60432,ZCTA5 60432,20801,1937,18864
8600000US60433,60433,ZCTA5 60433,16692,2012,14680
8600000US60435,60435,ZCTA5 60435,49217,4764,44453
8600000US60436,60436,ZCTA5 60436,17392,1649,15743
8600000US60437,60437,ZCTA5 60437,159,26,133
8600000US60438,60438,ZCTA5 60438,28742,3590,25152
8600000US60439,60439,ZCTA5 60439,22975,2830,20145
8600000US60440,60440,ZCTA5 60440,53298,4409,48889
8600000US60441,60441,ZCTA5 60441,33872,4018,29854
8600000US60442,60442,ZCTA5 60442,9983,857,9126
8600000US60443,60443,ZCTA5 60443,21072,2215,18857
8600000US60444,60444,ZCTA5 60444,1837,226,1611
8600000US60445,60445,ZCTA5 60445,25762,3325,22437
8600000US60446,60446,ZCTA5 60446,39963,3782,36181
8600000US60447,60447,ZCTA5 60447,13939,1287,12652
8600000US60448,60448,ZCTA5 60448,25332,3212,22120
8600000US60449,60449,ZCTA5 60449,9505,763,8742
8600000US60450,60450,ZCTA5 60450,20385,2074,18311
8600000US60451,60451,ZCTA5 60451,34741,3685,31056
8600000US60452,60452,ZCTA5 60452,28211,3464,24747
8600000US60453,60453,ZCTA5 60453,56448,7630,48818
8600000US60455,60455,ZCTA5 60455,15897,2266,13631
8600000US60456,60456,ZCTA5 60456,4356,648,3708
8600000US60457,60457,ZCTA5 60457,13866,1403,12463
8600000US60458,60458,ZCTA5 60458,14769,1399,13370
8600000US60459,60459,ZCTA5 60459,28960,3718,25242
8600000US60460,60460,ZCTA5 60460,1354,194,1160
8600000US60461,60461,ZCTA5 60461,4815,957,3858
8600000US60462,60462,ZCTA5 60462,39509,5465,34044
8600000US60463,60463,ZCTA5 60463,13888,1897,11991
8600000US60464,60464,ZCTA5 60464,9449,1653,7796
8600000US60465,60465,ZCTA5 60465,17475,2120,15355
8600000US60466,60466,ZCTA5 60466,22224,1958,20266
8600000US60467,60467,ZCTA5 60467,26597,3499,23098
8600000US60468,60468,ZCTA5 60468,5721,674,5047
8600000US60469,60469,ZCTA5 60469,6298,721,5577
8600000US60470,60470,ZCTA5 60470,644,54,590
8600000US60471,60471,ZCTA5 60471,13896,1767,12129
8600000US60472,60472,ZCTA5 60472,4960,746,4214
8600000US60473,60473,ZCTA5 60473,22014,3225,18789
8600000US60474,60474,ZCTA5 60474,899,66,833
8600000US60475,60475,ZCTA5 60475,9620,998,8622
8600000US60476,60476,ZCTA5 60476,2615,245,2370
8600000US60477,60477,ZCTA5 60477,38296,4954,33342
8600000US60478,60478,ZCTA5 60478,17077,3166,13911
8600000US60479,60479,ZCTA5 60479,757,42,715
8600000US60480,60480,ZCTA5 60480,5171,797,4374
8600000US60481,60481,ZCTA5 60481,11476,1252,10224
8600000US60482,60482,ZCTA5 60482,11115,1719,9396
8600000US60484,60484,ZCTA5 60484,6648,445,6203
8600000US60487,60487,ZCTA5 60487,26974,2620,24354
8600000US60490,60490,ZCTA5 60490,20784,1974,18810
8600000US60491,60491,ZCTA5 60491,22479,2319,20160
8600000US60501,60501,ZCTA5 60501,12076,1265,10811
8600000US60502,60502,ZCTA5 60502,23749,2133,21616
8600000US60503,60503,ZCTA5 60503,17394,1288,16106
8600000US60504,60504,ZCTA5 60504,37093,3632,33461
8600000US60505,60505,ZCTA5 60505,75824,6286,69538
8600000US60506,60506,ZCTA5 60506,54698,6284,48414
8600000US60510,60510,ZCTA5 60510,29299,3026,26273
8600000US60511,60511,ZCTA5 60511,1584,191,1393
8600000US60512,60512,ZCTA5 60512,2052,182,1870
8600000US60513,60513,ZCTA5 60513,18840,1465,17375
8600000US60514,60514,ZCTA5 60514,10136,973,9163
8600000US60515,60515,ZCTA5 60515,28623,3002,25621
8600000US60516,60516,ZCTA5 60516,27836,2718,25118
8600000US60517,60517,ZCTA5 60517,32251,3199,29052
8600000US60518,60518,ZCTA5 60518,3726,469,3257
8600000US60519,60519,ZCTA5 60519,33,0,33
8600000US60520,60520,ZCTA5 60520,2848,290,2558
8600000US60521,60521,ZCTA5 60521,17811,2124,15687
8600000US60523,60523,ZCTA5 60523,9778,1873,7905
8600000US60525,60525,ZCTA5 60525,30858,3390,27468
8600000US60526,60526,ZCTA5 60526,13514,1507,12007
8600000US60527,60527,ZCTA5 60527,28701,3384,25317
8600000US60530,60530,ZCTA5 60530,464,54,410
8600000US60531,60531,ZCTA5 60531,1875,278,1597
8600000US60532,60532,ZCTA5 60532,27075,3099,23976
8600000US60534,60534,ZCTA5 60534,10610,1446,9164
8600000US60536,60536,ZCTA5 60536,113,10,103
8600000US60537,60537,ZCTA5 60537,643,40,603
8600000US60538,60538,ZCTA5 60538,27606,2007,25599
8600000US60539,60539,ZCTA5 60539,413,73,340
8600000US60540,60540,ZCTA5 60540,43957,5535,38422
8600000US60541,60541,ZCTA5 60541,3409,358,3051
8600000US60542,60542,ZCTA5 60542,17283,2071,15212
8600000US60543,60543,ZCTA5 60543,38930,2828,36102
8600000US60544,60544,ZCTA5 60544,25170,3194,21976
8600000US60545,60545,ZCTA5 60545,13273,1348,11925
8600000US60546,60546,ZCTA5 60546,15886,1669,14217
8600000US60548,60548,ZCTA5 60548,11889,1339,10550
8600000US60549,60549,ZCTA5 60549,736,0,736
8600000US60550,60550,ZCTA5 60550,1538,118,1420
8600000US60551,60551,ZCTA5 60551,3882,321,3561
8600000US60552,60552,ZCTA5 60552,4630,454,4176
8600000US60553,60553,ZCTA5 60553,795,113,682
8600000US60554,60554,ZCTA5 60554,11635,1362,10273
8600000US60555,60555,ZCTA5 60555,13687,1360,12327
8600000US60556,60556,ZCTA5 60556,1764,266,1498
8600000US60557,60557,ZCTA5 60557,29,0,29
8600000US60558,60558,ZCTA5 60558,13120,1463,11657
8600000US60559,60559,ZCTA5 60559,24449,2280,22169
8600000US60560,60560,ZCTA5 60560,22335,2031,20304
8600000US60561,60561,ZCTA5 60561,23154,2944,20210
8600000US60563,60563,ZCTA5 60563,35628,4800,30828
8600000US60564,60564,ZCTA5 60564,41635,4081,37554
8600000US60565,60565,ZCTA5 60565,40912,3900,37012
8600000US60585,60585,ZCTA5 60585,23306,2028,21278
8600000US60586,60586,ZCTA5 60586,47158,3779,43379
8600000US60601,60601,ZCTA5 60601,11880,1697,10183
8600000US60602,60602,ZCTA5 60602,1294,200,1094
8600000US60603,60603,ZCTA5 60603,1076,107,969
8600000US60604,60604,ZCTA5 60604,545,21,524
8600000US60605,60605,ZCTA5 60605,26654,2183,24471
8600000US60606,60606,ZCTA5 60606,3081,238,2843
8600000US60607,60607,ZCTA5 60607,27182,2331,24851
8600000US60608,60608,ZCTA5 60608,71870,5357,66513
8600000US60609,60609,ZCTA5 60609,61839,5537,56302
8600000US60610,60610,ZCTA5 60610,39449,3819,35630
8600000US60611,60611,ZCTA5 60611,31165,4055,27110
8600000US60612,60612,ZCTA5 60612,35821,3561,32260
8600000US60613,60613,ZCTA5 60613,49113,4326,44787
8600000US60614,60614,ZCTA5 60614,68919,6334,62585
8600000US60615,60615,ZCTA5 60615,41189,5336,35853
8600000US60616,60616,ZCTA5 60616,51399,4156,47243
8600000US60617,60617,ZCTA5 60617,82144,10121,72023
8600000US60618,60618,ZCTA5 60618,97042,8386,88656
8600000US60619,60619,ZCTA5 60619,63336,7937,55399
8600000US60620,60620,ZCTA5 60620,69325,9083,60242
8600000US60621,60621,ZCTA5 60621,31458,3101,28357
8600000US60622,60622,ZCTA5 60622,55151,5917,49234
8600000US60623,60623,ZCTA5 60623,88385,6496,81889
8600000US60624,60624,ZCTA5 60624,37842,3007,34835
8600000US60625,60625,ZCTA5 60625,77857,6862,70995
8600000US60626,60626,ZCTA5 60626,47438,4173,43265
8600000US60628,60628,ZCTA5 60628,67626,9571,58055
8600000US60629,60629,ZCTA5 60629,114974,8613,106361
8600000US60630,60630,ZCTA5 60630,56471,5435,51036
8600000US60631,60631,ZCTA5 60631,27803,3180,24623
8600000US60632,60632,ZCTA5 60632,91072,7701,83371
8600000US60633,60633,ZCTA5 60633,12426,1572,10854
8600000US60634,60634,ZCTA5 60634,73853,7806,66047
8600000US60636,60636,ZCTA5 60636,37262,3837,33425
8600000US60637,60637,ZCTA5 60637,50183,6029,44154
8600000US60638,60638,ZCTA5 60638,57958,6080,51878
8600000US60639,60639,ZCTA5 60639,91117,8114,83003
8600000US60640,60640,ZCTA5 60640,64638,6246,58392
8600000US60641,60641,ZCTA5 60641,72333,7533,64800
8600000US60642,60642,ZCTA5 60642,19989,2181,17808
8600000US60643,60643,ZCTA5 60643,50645,7768,42877
8600000US60644,60644,ZCTA5 60644,48317,4061,44256
8600000US60645,60645,ZCTA5 60645,45335,5496,39839
8600000US60646,60646,ZCTA5 60646,28014,3003,25011
8600000US60647,60647,ZCTA5 60647,88026,8058,79968
8600000US60649,60649,ZCTA5 60649,44566,6806,37760
8600000US60651,60651,ZCTA5 60651,61274,6657,54617
8600000US60652,60652,ZCTA5 60652,41971,4508,37463
8600000US60653,60653,ZCTA5 60653,30209,3121,27088
8600000US60654,60654,ZCTA5 60654,15934,1029,14905
8600000US60655,60655,ZCTA5 60655,28459,2698,25761
8600000US60656,60656,ZCTA5 60656,28526,3095,25431
8600000US60657,60657,ZCTA5 60657,69010,6225,62785
8600000US60659,60659,ZCTA5 60659,38018,4386,33632
8600000US60660,60660,ZCTA5 60660,40210,3768,36442
8600000US60661,60661,ZCTA5 60661,8875,447,8428
8600000US60706,60706,ZCTA5 60706,23019,3211,19808
8600000US60707,60707,ZCTA5 60707,42787,4770,38017
8600000US60712,60712,ZCTA5 60712,12606,1537,11069
8600000US60714,60714,ZCTA5 60714,28868,3559,25309
8600000US60803,60803,ZCTA5 60803,23128,2039,21089
8600000US60804,60804,ZCTA5 60804,83980,6828,77152
8600000US60805,60805,ZCTA5 60805,19771,2166,17605
8600000US60827,60827,ZCTA5 60827,28677,3551,25126
8600000US60901,60901,ZCTA5 60901,35318,4046,31272
8600000US60910,60910,ZCTA5 60910,457,77,380
8600000US60911,60911,ZCTA5 60911,1505,200,1305
8600000US60912,60912,ZCTA5 60912,610,37,573
8600000US60913,60913,ZCTA5 60913,1220,108,1112
8600000US60914,60914,ZCTA5 60914,29191,2642,26549
8600000US60915,60915,ZCTA5 60915,9895,1081,8814
8600000US60917,60917,ZCTA5 60917,537,42,495
8600000US60918,60918,ZCTA5 60918,809,81,728
8600000US60919,60919,ZCTA5 60919,549,63,486
8600000US60920,60920,ZCTA5 60920,158,7,151
8600000US60921,60921,ZCTA5 60921,1231,160,1071
8600000US60922,60922,ZCTA5 60922,2349,231,2118
8600000US60924,60924,ZCTA5 60924,1650,177,1473
8600000US60926,60926,ZCTA5 60926,18,0,18
8600000US60927,60927,ZCTA5 60927,2264,194,2070
8600000US60928,60928,ZCTA5 60928,839,69,770
8600000US60929,60929,ZCTA5 60929,937,66,871
8600000US60930,60930,ZCTA5 60930,798,152,646
8600000US60931,60931,ZCTA5 60931,515,76,439
8600000US60932,60932,ZCTA5 60932,81,50,31
8600000US60933,60933,ZCTA5 60933,249,49,200
8600000US60934,60934,ZCTA5 60934,257,43,214
8600000US60935,60935,ZCTA5 60935,1176,103,1073
8600000US60936,60936,ZCTA5 60936,4089,454,3635
8600000US60938,60938,ZCTA5 60938,1886,224,1662
8600000US60940,60940,ZCTA5 60940,3605,357,3248
8600000US60941,60941,ZCTA5 60941,1943,242,1701
8600000US60942,60942,ZCTA5 60942,5923,1106,4817
8600000US60945,60945,ZCTA5 60945,177,14,163
8600000US60946,60946,ZCTA5 60946,403,37,366
8600000US60948,60948,ZCTA5 60948,1392,208,1184
8600000US60949,60949,ZCTA5 60949,550,36,514
8600000US60950,60950,ZCTA5 60950,11535,1728,9807
8600000US60951,60951,ZCTA5 60951,755,57,698
8600000US60952,60952,ZCTA5 60952,709,70,639
8600000US60953,60953,ZCTA5 60953,2297,298,1999
8600000US60954,60954,ZCTA5 60954,5930,577,5353
8600000US60955,60955,ZCTA5 60955,1887,162,1725
8600000US60957,60957,ZCTA5 60957,5147,581,4566
8600000US60958,60958,ZCTA5 60958,2222,271,1951
8600000US60959,60959,ZCTA5 60959,1079,87,992
8600000US60960,60960,ZCTA5 60960,1082,101,981
8600000US60961,60961,ZCTA5 60961,861,53,808
8600000US60962,60962,ZCTA5 60962,529,67,462
8600000US60963,60963,ZCTA5 60963,2107,278,1829
8600000US60964,60964,ZCTA5 60964,5282,608,4674
8600000US60966,60966,ZCTA5 60966,1489,191,1298
8600000US60968,60968,ZCTA5 60968,355,27,328
8600000US60969,60969,ZCTA5 60969,85,7,78
8600000US60970,60970,ZCTA5 60970,6933,1010,5923
8600000US60973,60973,ZCTA5 60973,490,67,423
8600000US60974,60974,ZCTA5 60974,352,45,307
8600000US61001,61001,ZCTA5 61001,1143,207,936
8600000US61006,61006,ZCTA5 61006,1760,346,1414
8600000US61007,61007,ZCTA5 61007,678,71,607
8600000US61008,61008,ZCTA5 61008,34358,3813,30545
8600000US61010,61010,ZCTA5 61010,8215,913,7302
8600000US61011,61011,ZCTA5 61011,2226,521,1705
8600000US61012,61012,ZCTA5 61012,2699,320,2379
8600000US61013,61013,ZCTA5 61013,500,38,462
8600000US61014,61014,ZCTA5 61014,1205,132,1073
8600000US61015,61015,ZCTA5 61015,699,193,506
8600000US61016,61016,ZCTA5 61016,4405,900,3505
8600000US61018,61018,ZCTA5 61018,1006,183,823
