,zip_code,year,Alley Lights Out,Alley Lights Out_completion_rate,Tree Debris,Tree Debris_completion_rate,Abandoned Vehicles,Abandoned Vehicles_completion_rate,Garbage Carts,Garbage Carts_completion_rate,Graffiti Removal,Graffiti Removal_completion_rate,Rodent Baiting,Rodent Baiting_completion_rate,Tree Trims,Tree Trims_completion_rate,Sanitation Code Complaints,Sanitation Code Complaints_completion_rate,Street Lights - All Out,Street Lights - All Out_completion_rate,Street Lights - One Out,Street Lights - One Out_completion_rate
165,60619,2010,75.0,1.0,11.0,1.0,38.0,1.0,243.0,1.0,0.0,0.0,15.0,1.0,591.0,1.0,1.0,1.0,57.0,1.0,98.0,1.0
166,60619,2011,2516.0,1.0,1160.0,1.0,737.0,1.0,1975.0,1.0,212.0,1.0,803.0,1.0,1473.0,1.0,780.0,1.0,5204.0,1.0,1476.0,1.0
167,60619,2012,757.0,1.0,1593.0,1.0,588.0,1.0,2032.0,1.0,254.0,1.0,780.0,1.0,1645.0,1.0,905.0,1.0,3319.0,1.0,1330.0,1.0
168,60619,2013,699.0,1.0,1428.0,1.0,664.0,1.0,2079.0,1.0,386.0,1.0,496.0,1.0,1674.0,1.0,838.0,1.0,2661.0,1.0,1294.0,1.0
169,60619,2014,1112.0,1.0,1002.0,1.0,706.0,1.0,1976.0,1.0,195.0,1.0,415.0,1.0,1845.0,0.9994579945799458,879.0,1.0,1426.0,1.0,3283.0,1.0
170,60619,2015,1255.0,1.0,910.0,1.0,783.0,1.0,2074.0,1.0,186.0,1.0,409.0,1.0,1408.0,0.9836647727272727,778.0,1.0,690.0,1.0,4117.0,1.0
171,60619,2016,1302.0,1.0,1209.0,1.0,1044.0,1.0,1989.0,1.0,187.0,1.0,732.0,1.0,1838.0,0.9978237214363439,903.0,1.0,699.0,1.0,4734.0,1.0
172,60619,2017,1129.0,0.978742249778565,867.0,1.0,1034.0,1.0,1995.0,1.0,112.0,1.0,815.0,1.0,1822.0,1.0,763.0,0.9973787680209698,509.0,0.9980353634577603,3671.0,0.9997275946608554
174,60620,2010,129.0,1.0,15.0,1.0,40.0,1.0,319.0,1.0,0.0,0.0,8.0,1.0,655.0,1.0,7.0,1.0,45.0,1.0,105.0,1.0
175,60620,2011,2136.0,1.0,1171.0,1.0,736.0,1.0,2958.0,1.0,267.0,1.0,988.0,1.0,1501.0,1.0,971.0,1.0,3926.0,1.0,1813.0,1.0
176,60620,2012,981.0,1.0,1156.0,1.0,561.0,1.0,2977.0,1.0,308.0,1.0,1194.0,1.0,1756.0,1.0,1024.0,1.0,2897.0,1.0,1587.0,1.0
177,60620,2013,776.0,1.0,1587.0,1.0,554.0,1.0,2607.0,1.0,340.0,1.0,781.0,1.0,1900.0,1.0,1045.0,1.0,2903.0,1.0,1368.0,1.0
178,60620,2014,1088.0,1.0,765.0,1.0,634.0,1.0,2225.0,1.0,278.0,1.0,706.0,1.0,2223.0,0.9995501574448943,920.0,1.0,1560.0,1.0,4101.0,1.0
179,60620,2015,1440.0,1.0,694.0,1.0,749.0,1.0,2381.0,1.0,279.0,1.0,865.0,1.0,1550.0,0.9806451612903225,991.0,1.0,862.0,1.0,4998.0,1.0
180,60620,2016,1389.0,1.0,900.0,1.0,927.0,1.0,2377.0,1.0,396.0,1.0,1133.0,1.0,1624.0,0.9913793103448276,917.0,1.0,854.0,1.0,5003.0,1.0
181,60620,2017,1210.0,0.9636363636363636,803.0,1.0,826.0,0.9975786924939467,2353.0,1.0,416.0,1.0,1424.0,1.0,1558.0,0.9980744544287549,884.0,1.0,610.0,1.0,3558.0,1.0
183,60621,2010,36.0,1.0,0.0,0.0,25.0,1.0,98.0,1.0,0.0,0.0,5.0,1.0,282.0,1.0,2.0,1.0,18.0,1.0,36.0,1.0
184,60621,2011,593.0,1.0,496.0,1.0,275.0,1.0,1084.0,1.0,274.0,1.0,798.0,1.0,341.0,1.0,513.0,1.0,2241.0,1.0,511.0,1.0
185,60621,2012,269.0,1.0,489.0,1.0,207.0,1.0,1073.0,1.0,207.0,1.0,685.0,1.0,513.0,1.0,564.0,1.0,1469.0,1.0,465.0,1.0
186,60621,2013,255.0,1.0,535.0,1.0,185.0,1.0,842.0,1.0,528.0,1.0,606.0,1.0,835.0,1.0,410.0,1.0,1411.0,1.0,452.0,1.0
187,60621,2014,244.0,1.0,322.0,1.0,189.0,1.0,759.0,1.0,225.0,1.0,617.0,1.0,617.0,1.0,384.0,1.0,630.0,1.0,1362.0,1.0
188,60621,2015,290.0,1.0,274.0,1.0,228.0,1.0,810.0,1.0,209.0,1.0,615.0,1.0,348.0,0.9913793103448276,420.0,1.0,450.0,1.0,2271.0,1.0
189,60621,2016,448.0,1.0,332.0,1.0,245.0,1.0,773.0,1.0,169.0,1.0,879.0,1.0,448.0,0.9977678571428571,525.0,1.0,395.0,1.0,1919.0,1.0
190,60621,2017,386.0,0.9378238341968912,333.0,1.0,305.0,1.0,830.0,1.0,200.0,1.0,991.0,1.0,509.0,1.0,542.0,1.0,297.0,1.0,1549.0,0.9993544222078761
192,60622,2010,23.0,1.0,0.0,0.0,31.0,1.0,33.0,1.0,0.0,0.0,7.0,1.0,324.0,1.0,2.0,1.0,6.0,1.0,21.0,1.0
193,60622,2011,672.0,1.0,127.0,1.0,452.0,1.0,567.0,1.0,3290.0,1.0,945.0,1.0,354.0,1.0,314.0,1.0,1030.0,1.0,460.0,1.0
194,60622,2012,336.0,1.0,187.0,1.0,424.0,1.0,648.0,1.0,4166.0,1.0,1049.0,1.0,687.0,1.0,392.0,1.0,688.0,1.0,395.0,1.0
195,60622,2013,192.0,1.0,191.0,1.0,412.0,1.0,611.0,1.0,6420.0,1.0,880.0,1.0,796.0,1.0,387.0,1.0,824.0,1.0,351.0,1.0
196,60622,2014,240.0,1.0,135.0,1.0,520.0,1.0,698.0,1.0,6241.0,1.0,750.0,1.0,950.0,0.9989473684210526,491.0,1.0,345.0,1.0,784.0,1.0
197,60622,2015,388.0,1.0,112.0,1.0,565.0,1.0,812.0,1.0,5699.0,1.0,1144.0,1.0,716.0,0.9986033519553073,617.0,1.0,248.0,1.0,1107.0,1.0
198,60622,2016,606.0,1.0,228.0,1.0,513.0,1.0,1349.0,1.0,6253.0,1.0,1463.0,1.0,818.0,1.0,512.0,1.0,387.0,1.0,1603.0,1.0
199,60622,2017,452.0,0.995575221238938,173.0,1.0,460.0,1.0,1226.0,0.9991843393148451,6160.0,1.0,1448.0,1.0,1145.0,0.9956331877729258,477.0,1.0,304.0,1.0,1369.0,1.0
201,60623,2010,19.0,1.0,2.0,1.0,25.0,1.0,147.0,1.0,0.0,0.0,2.0,1.0,464.0,1.0,6.0,1.0,15.0,1.0,43.0,1.0
202,60623,2011,1469.0,1.0,337.0,1.0,622.0,1.0,1998.0,1.0,8908.0,1.0,1032.0,1.0,791.0,1.0,486.0,1.0,2256.0,1.0,1130.0,0.9982300884955753
203,60623,2012,489.0,1.0,441.0,1.0,533.0,1.0,2232.0,1.0,10132.0,1.0,1187.0,1.0,893.0,1.0,638.0,1.0,1805.0,1.0,728.0,1.0
204,60623,2013,388.0,1.0,388.0,1.0,503.0,1.0,2044.0,1.0,9920.0,1.0,854.0,1.0,1610.0,1.0,514.0,1.0,1852.0,1.0,691.0,0.9985528219971056
205,60623,2014,545.0,1.0,256.0,1.0,670.0,1.0,1416.0,1.0,8109.0,1.0,473.0,1.0,1152.0,0.9991319444444444,449.0,1.0,816.0,1.0,1904.0,1.0
206,60623,2015,746.0,1.0,205.0,1.0,709.0,1.0,1650.0,1.0,4701.0,1.0,769.0,1.0,842.0,0.9881235154394299,503.0,1.0,483.0,1.0,2635.0,1.0
207,60623,2016,905.0,1.0,266.0,1.0,1061.0,1.0,1773.0,1.0,4247.0,1.0,1526.0,1.0,1072.0,0.9990671641791045,579.0,1.0,585.0,1.0,3026.0,1.0
208,60623,2017,930.0,0.9559139784946237,356.0,1.0,1066.0,1.0,1826.0,1.0,5380.0,0.9998141263940521,1810.0,1.0,2160.0,0.9990740740740741,532.0,0.9981203007518797,564.0,1.0,2659.0,0.9996239187664535
210,60624,2010,17.0,1.0,7.0,1.0,10.0,1.0,93.0,1.0,0.0,0.0,4.0,1.0,53.0,1.0,9.0,1.0,8.0,1.0,45.0,1.0
211,60624,2011,751.0,1.0,233.0,1.0,331.0,1.0,1838.0,1.0,382.0,1.0,928.0,1.0,337.0,1.0,401.0,1.0,1803.0,1.0,689.0,1.0
212,60624,2012,482.0,1.0,447.0,1.0,315.0,1.0,1644.0,1.0,375.0,1.0,1119.0,1.0,679.0,1.0,553.0,1.0,1635.0,1.0,593.0,1.0
213,60624,2013,262.0,1.0,492.0,1.0,354.0,1.0,1237.0,1.0,686.0,1.0,697.0,1.0,997.0,1.0,400.0,1.0,1613.0,1.0,459.0,1.0
214,60624,2014,285.0,1.0,554.0,1.0,275.0,1.0,1201.0,1.0,293.0,1.0,672.0,1.0,530.0,1.0,428.0,1.0,653.0,1.0,1364.0,1.0
215,60624,2015,326.0,1.0,323.0,1.0,434.0,1.0,1241.0,1.0,475.0,1.0,696.0,1.0,312.0,1.0,381.0,1.0,505.0,1.0,2270.0,1.0
216,60624,2016,431.0,1.0,562.0,0.998220640569395,533.0,1.0,1252.0,1.0,399.0,1.0,945.0,1.0,514.0,1.0,447.0,1.0,376.0,1.0,1773.0,1.0
217,60624,2017,612.0,0.9640522875816994,373.0,1.0,422.0,0.995260663507109,1312.0,1.0,311.0,1.0,891.0,1.0,595.0,1.0,550.0,1.0,346.0,1.0,1632.0,1.0
219,60625,2010,17.0,1.0,1.0,1.0,28.0,1.0,53.0,1.0,0.0,0.0,4.0,1.0,539.0,1.0,1.0,1.0,0.0,0.0,8.0,1.0
220,60625,2011,871.0,1.0,262.0,1.0,545.0,1.0,570.0,1.0,3337.0,1.0,717.0,1.0,779.0,1.0,297.0,1.0,841.0,1.0,503.0,1.0
221,60625,2012,315.0,1.0,225.0,1.0,590.0,1.0,723.0,1.0,3445.0,1.0,1064.0,1.0,1209.0,1.0,353.0,1.0,1032.0,1.0,400.0,1.0
222,60625,2013,244.0,1.0,416.0,1.0,684.0,1.0,710.0,1.0,5528.0,1.0,895.0,1.0,1474.0,1.0,452.0,1.0,832.0,1.0,334.0,1.0
223,60625,2014,337.0,1.0,217.0,1.0,639.0,1.0,812.0,1.0,6772.0,1.0,1138.0,1.0,1872.0,1.0,352.0,1.0,384.0,1.0,813.0,1.0
224,60625,2015,430.0,1.0,229.0,1.0,626.0,1.0,760.0,1.0,6522.0,1.0,986.0,1.0,910.0,0.9912087912087912,385.0,1.0,259.0,1.0,1117.0,1.0
225,60625,2016,635.0,1.0,365.0,1.0,791.0,1.0,1099.0,1.0,7023.0,1.0,1441.0,1.0,1019.0,0.9990186457311089,411.0,1.0,218.0,1.0,1152.0,1.0
226,60625,2017,362.0,0.9917127071823204,307.0,1.0,816.0,1.0,1089.0,1.0,5228.0,0.9998087222647284,1542.0,1.0,1156.0,0.9991349480968859,461.0,1.0,224.0,1.0,1109.0,0.9990982867448152
228,60626,2010,2.0,1.0,0.0,0.0,12.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,158.0,1.0,0.0,0.0,2.0,1.0,9.0,1.0
229,60626,2011,233.0,1.0,246.0,1.0,348.0,1.0,243.0,1.0,1709.0,1.0,325.0,1.0,281.0,1.0,184.0,1.0,361.0,1.0,298.0,1.0
230,60626,2012,111.0,1.0,111.0,1.0,347.0,1.0,193.0,1.0,1394.0,1.0,454.0,1.0,392.0,1.0,292.0,1.0,552.0,1.0,189.0,1.0
231,60626,2013,116.0,1.0,184.0,1.0,366.0,1.0,208.0,1.0,1683.0,1.0,383.0,1.0,385.0,1.0,225.0,1.0,339.0,1.0,156.0,1.0
232,60626,2014,191.0,1.0,149.0,1.0,407.0,1.0,156.0,1.0,1372.0,1.0,535.0,1.0,624.0,1.0,162.0,1.0,153.0,1.0,321.0,1.0
233,60626,2015,260.0,1.0,263.0,1.0,449.0,1.0,192.0,1.0,1509.0,1.0,576.0,1.0,335.0,0.9850746268656716,151.0,1.0,86.0,1.0,481.0,1.0
234,60626,2016,243.0,1.0,159.0,1.0,562.0,1.0,239.0,1.0,1247.0,1.0,865.0,1.0,323.0,0.978328173374613,158.0,1.0,95.0,1.0,516.0,1.0
235,60626,2017,294.0,0.9965986394557823,151.0,1.0,490.0,1.0,219.0,1.0,1278.0,1.0,888.0,1.0,385.0,0.9948051948051948,183.0,1.0,75.0,1.0,369.0,0.997289972899729
237,60628,2010,77.0,1.0,13.0,1.0,50.0,1.0,250.0,1.0,0.0,0.0,5.0,1.0,882.0,1.0,8.0,1.0,38.0,1.0,58.0,1.0
238,60628,2011,2673.0,1.0,1783.0,1.0,607.0,1.0,2704.0,1.0,366.0,1.0,669.0,1.0,1850.0,1.0,701.0,1.0,5372.0,1.0,1684.0,1.0
239,60628,2012,1213.0,1.0,2041.0,1.0,446.0,1.0,2764.0,1.0,500.0,1.0,663.0,1.0,2134.0,1.0,851.0,1.0,5076.0,1.0,1605.0,1.0
240,60628,2013,1036.0,1.0,2148.0,1.0,519.0,1.0,2267.0,1.0,589.0,1.0,553.0,1.0,3013.0,1.0,814.0,1.0,3317.0,1.0,1227.0,1.0
241,60628,2014,1689.0,1.0,1942.0,1.0,554.0,1.0,2010.0,1.0,454.0,1.0,463.0,1.0,3266.0,0.9993876301285977,762.0,1.0,1817.0,1.0,4453.0,1.0
242,60628,2015,1352.0,1.0,1318.0,1.0,558.0,1.0,2176.0,1.0,343.0,1.0,479.0,1.0,1756.0,0.9920273348519362,931.0,1.0,959.0,1.0,4984.0,1.0
243,60628,2016,1856.0,1.0,1537.0,1.0,809.0,1.0,2375.0,1.0,384.0,1.0,1251.0,1.0,2272.0,0.9942781690140845,1023.0,1.0,848.0,1.0,4703.0,1.0
244,60628,2017,1355.0,0.9549815498154982,1214.0,1.0,619.0,0.9967689822294022,2261.0,1.0,351.0,1.0,936.0,1.0,1234.0,0.9983792544570502,774.0,1.0,602.0,1.0,3439.0,1.0
246,60629,2010,106.0,1.0,6.0,1.0,61.0,1.0,279.0,1.0,0.0,0.0,14.0,1.0,852.0,1.0,9.0,1.0,66.0,1.0,77.0,1.0
247,60629,2011,2312.0,1.0,696.0,1.0,1269.0,1.0,2359.0,1.0,5857.0,1.0,1812.0,1.0,1206.0,1.0,819.0,1.0,3141.0,1.0,1317.0,1.0
248,60629,2012,1105.0,1.0,639.0,1.0,1165.0,1.0,2833.0,1.0,9604.0,1.0,2053.0,1.0,997.0,1.0,674.0,1.0,1857.0,1.0,942.0,1.0
249,60629,2013,947.0,1.0,866.0,1.0,1061.0,1.0,2389.0,1.0,7751.0,1.0,1153.0,1.0,1082.0,1.0,562.0,1.0,2097.0,1.0,932.0,1.0
250,60629,2014,1534.0,1.0,541.0,1.0,1411.0,1.0,2423.0,1.0,7333.0,1.0,1372.0,1.0,1876.0,0.9989339019189766,671.0,1.0,1238.0,1.0,3180.0,1.0
251,60629,2015,1533.0,1.0,393.0,1.0,1575.0,1.0,2743.0,1.0,6662.0,1.0,1622.0,1.0,1305.0,0.9923371647509579,646.0,1.0,685.0,1.0,3865.0,1.0
252,60629,2016,1990.0,1.0,403.0,1.0,1938.0,1.0,2877.0,1.0,7278.0,1.0,2005.0,1.0,1139.0,0.9771729587357331,695.0,1.0,691.0,1.0,4146.0,1.0
253,60629,2017,2151.0,0.9102742910274291,434.0,1.0,2074.0,1.0,2973.0,1.0,5720.0,1.0,2181.0,1.0,1396.0,0.9871060171919771,581.0,1.0,589.0,1.0,3250.0,1.0
255,60630,2010,26.0,1.0,0.0,0.0,33.0,1.0,40.0,1.0,0.0,0.0,0.0,0.0,696.0,1.0,3.0,1.0,11.0,1.0,37.0,1.0
256,60630,2011,1275.0,1.0,516.0,1.0,761.0,1.0,1122.0,1.0,1034.0,1.0,375.0,1.0,1243.0,1.0,227.0,1.0,1135.0,1.0,656.0,1.0
257,60630,2012,598.0,1.0,434.0,1.0,761.0,1.0,1126.0,1.0,1674.0,1.0,571.0,1.0,1212.0,1.0,238.0,1.0,780.0,1.0,443.0,1.0
258,60630,2013,279.0,1.0,845.0,1.0,855.0,1.0,1068.0,1.0,1577.0,1.0,662.0,1.0,1567.0,1.0,208.0,1.0,780.0,1.0,392.0,1.0
259,60630,2014,297.0,1.0,349.0,1.0,991.0,1.0,869.0,1.0,1650.0,1.0,849.0,1.0,1377.0,1.0,269.0,1.0,402.0,1.0,867.0,1.0
260,60630,2015,559.0,1.0,360.0,1.0,1160.0,1.0,983.0,1.0,1355.0,1.0,1002.0,1.0,1158.0,0.9870466321243523,293.0,1.0,304.0,1.0,1340.0,1.0
261,60630,2016,672.0,1.0,388.0,1.0,1351.0,1.0,1393.0,1.0,1264.0,1.0,1189.0,1.0,1292.0,0.9984520123839009,328.0,1.0,247.0,1.0,1430.0,1.0
262,60630,2017,469.0,0.9957356076759062,356.0,1.0,1191.0,1.0,1164.0,1.0,1604.0,1.0,1583.0,1.0,1312.0,0.9992378048780488,276.0,1.0,251.0,1.0,1318.0,0.9984825493171472
264,60631,2010,8.0,1.0,0.0,0.0,1.0,1.0,64.0,1.0,0.0,0.0,0.0,0.0,398.0,1.0,1.0,1.0,2.0,1.0,10.0,1.0
265,60631,2011,718.0,1.0,654.0,1.0,152.0,1.0,831.0,1.0,161.0,1.0,238.0,1.0,698.0,1.0,123.0,1.0,672.0,1.0,590.0,1.0
266,60631,2012,303.0,1.0,425.0,1.0,149.0,1.0,791.0,1.0,174.0,1.0,351.0,1.0,981.0,1.0,166.0,1.0,539.0,1.0,315.0,1.0
267,60631,2013,148.0,1.0,1237.0,1.0,188.0,1.0,723.0,1.0,102.0,1.0,278.0,1.0,849.0,1.0,205.0,1.0,601.0,1.0,226.0,1.0
268,60631,2014,161.0,1.0,429.0,1.0,225.0,1.0,649.0,1.0,102.0,1.0,159.0,1.0,701.0,1.0,143.0,1.0,325.0,1.0,661.0,1.0
269,60631,2015,216.0,1.0,461.0,1.0,230.0,1.0,652.0,1.0,62.0,1.0,170.0,1.0,716.0,0.9930167597765364,77.0,1.0,225.0,1.0,1112.0,1.0
270,60631,2016,402.0,1.0,425.0,1.0,245.0,1.0,754.0,1.0,138.0,1.0,179.0,1.0,620.0,0.9935483870967742,68.0,1.0,189.0,1.0,934.0,1.0
271,60631,2017,230.0,0.9739130434782609,408.0,1.0,286.0,1.0,687.0,1.0,75.0,1.0,198.0,1.0,482.0,0.9937759336099585,70.0,1.0,108.0,1.0,679.0,1.0
273,60632,2010,40.0,1.0,8.0,1.0,56.0,1.0,103.0,1.0,0.0,0.0,6.0,1.0,375.0,1.0,3.0,1.0,22.0,1.0,66.0,1.0
274,60632,2011,1907.0,1.0,241.0,1.0,1036.0,1.0,1612.0,1.0,10868.0,1.0,1185.0,1.0,1182.0,1.0,437.0,1.0,1670.0,1.0,974.0,1.0
275,60632,2012,801.0,1.0,358.0,1.0,929.0,1.0,1505.0,1.0,16664.0,1.0,1158.0,1.0,876.0,1.0,394.0,1.0,1529.0,1.0,620.0,1.0
276,60632,2013,542.0,1.0,366.0,1.0,831.0,1.0,1354.0,1.0,16854.0,1.0,882.0,1.0,1506.0,1.0,347.0,1.0,1366.0,1.0,555.0,1.0
277,60632,2014,643.0,1.0,189.0,1.0,1059.0,1.0,1144.0,1.0,15452.0,1.0,594.0,1.0,1241.0,1.0,453.0,1.0,636.0,1.0,1488.0,1.0
278,60632,2015,963.0,1.0,196.0,1.0,1323.0,1.0,1310.0,1.0,12518.0,1.0,818.0,1.0,1210.0,0.9917355371900827,727.0,1.0,399.0,1.0,1847.0,1.0
279,60632,2016,1018.0,1.0,236.0,1.0,1828.0,1.0,1537.0,1.0,14135.0,1.0,1432.0,1.0,998.0,1.0,1163.0,1.0,547.0,1.0,2424.0,1.0
280,60632,2017,1054.0,0.9601518026565465,268.0,1.0,1569.0,1.0,1496.0,1.0,11225.0,1.0,1348.0,1.0,1274.0,0.9968602825745683,778.0,1.0,445.0,1.0,1878.0,1.0
282,60633,2010,36.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,0.0,0.0,1.0,1.0,96.0,1.0,0.0,0.0,1.0,1.0,31.0,1.0
283,60633,2011,414.0,1.0,96.0,1.0,62.0,1.0,180.0,1.0,313.0,1.0,15.0,1.0,142.0,1.0,29.0,1.0,483.0,1.0,228.0,1.0
284,60633,2012,167.0,1.0,129.0,1.0,45.0,1.0,194.0,1.0,299.0,1.0,22.0,1.0,454.0,1.0,32.0,1.0,429.0,1.0,221.0,1.0
285,60633,2013,140.0,1.0,151.0,1.0,70.0,1.0,184.0,1.0,241.0,1.0,17.0,1.0,429.0,1.0,43.0,1.0,398.0,1.0,189.0,1.0
286,60633,2014,243.0,1.0,215.0,1.0,68.0,1.0,110.0,1.0,103.0,1.0,14.0,1.0,283.0,1.0,40.0,1.0,285.0,1.0,552.0,1.0
287,60633,2015,127.0,1.0,127.0,1.0,73.0,1.0,171.0,1.0,241.0,1.0,15.0,1.0,227.0,1.0,45.0,1.0,137.0,1.0,448.0,1.0
288,60633,2016,210.0,1.0,99.0,1.0,107.0,1.0,203.0,1.0,170.0,1.0,70.0,1.0,209.0,1.0,77.0,1.0,153.0,1.0,585.0,1.0
289,60633,2017,218.0,0.8853211009174312,88.0,1.0,112.0,1.0,162.0,1.0,107.0,1.0,43.0,1.0,180.0,1.0,42.0,1.0,149.0,1.0,601.0,1.0
291,60634,2010,48.0,1.0,0.0,0.0,38.0,1.0,58.0,1.0,0.0,0.0,4.0,1.0,870.0,1.0,3.0,1.0,13.0,1.0,55.0,1.0
292,60634,2011,1874.0,1.0,593.0,1.0,1054.0,1.0,1909.0,1.0,2027.0,1.0,953.0,1.0,1483.0,1.0,408.0,1.0,2336.0,1.0,1670.0,1.0
293,60634,2012,673.0,1.0,652.0,1.0,877.0,1.0,1991.0,1.0,2489.0,1.0,993.0,1.0,1826.0,1.0,395.0,1.0,1171.0,1.0,832.0,1.0
294,60634,2013,471.0,1.0,1047.0,1.0,968.0,1.0,1857.0,1.0,2733.0,1.0,983.0,1.0,2091.0,1.0,429.0,1.0,1201.0,1.0,676.0,1.0
295,60634,2014,621.0,1.0,380.0,1.0,1240.0,1.0,1609.0,1.0,2417.0,1.0,730.0,1.0,1956.0,0.9994887525562373,331.0,1.0,808.0,1.0,1864.0,1.0
296,60634,2015,833.0,1.0,390.0,1.0,1371.0,1.0,1442.0,1.0,3007.0,1.0,1152.0,1.0,1915.0,0.985378590078329,359.0,1.0,562.0,1.0,2793.0,1.0
297,60634,2016,1238.0,1.0,469.0,1.0,1437.0,1.0,1711.0,1.0,1894.0,1.0,1456.0,1.0,1950.0,0.9923076923076923,322.0,1.0,432.0,1.0,2267.0,1.0
298,60634,2017,1085.0,0.9686635944700461,400.0,1.0,1411.0,1.0,1633.0,1.0,1665.0,1.0,1528.0,1.0,1444.0,1.0,293.0,1.0,375.0,1.0,2212.0,0.9990958408679927
300,60636,2010,45.0,1.0,4.0,1.0,20.0,1.0,159.0,1.0,0.0,0.0,8.0,1.0,469.0,1.0,5.0,1.0,20.0,1.0,50.0,1.0
301,60636,2011,1196.0,1.0,649.0,1.0,295.0,1.0,1960.0,1.0,378.0,1.0,1681.0,1.0,673.0,1.0,719.0,1.0,2067.0,1.0,860.0,1.0
302,60636,2012,441.0,1.0,920.0,1.0,265.0,1.0,1887.0,1.0,448.0,1.0,1470.0,1.0,826.0,1.0,870.0,1.0,1459.0,1.0,663.0,1.0
303,60636,2013,415.0,1.0,944.0,1.0,277.0,1.0,1486.0,1.0,587.0,1.0,963.0,1.0,1362.0,1.0,611.0,1.0,1665.0,1.0,626.0,1.0
304,60636,2014,439.0,1.0,516.0,1.0,247.0,1.0,1602.0,1.0,411.0,1.0,828.0,1.0,989.0,1.0,540.0,1.0,645.0,1.0,1838.0,1.0
305,60636,2015,525.0,1.0,427.0,1.0,313.0,1.0,1648.0,1.0,507.0,1.0,941.0,1.0,885.0,0.9853107344632769,607.0,1.0,461.0,1.0,2656.0,1.0
306,60636,2016,697.0,1.0,462.0,1.0,404.0,1.0,1615.0,1.0,675.0,1.0,1414.0,1.0,810.0,0.991358024691358,494.0,1.0,519.0,1.0,2665.0,1.0
307,60636,2017,524.0,0.9751908396946565,503.0,1.0,507.0,0.9921104536489151,1593.0,0.9993722536095417,510.0,1.0,1315.0,1.0,1330.0,0.9984962406015038,526.0,1.0,365.0,0.9972602739726028,1828.0,1.0
309,60637,2010,12.0,1.0,0.0,0.0,15.0,1.0,47.0,1.0,0.0,0.0,0.0,0.0,183.0,1.0,12.0,1.0,7.0,1.0,33.0,1.0
310,60637,2011,554.0,1.0,327.0,1.0,368.0,1.0,606.0,1.0,220.0,1.0,515.0,1.0,432.0,1.0,512.0,1.0,2356.0,1.0,458.0,1.0
311,60637,2012,247.0,1.0,407.0,1.0,299.0,1.0,621.0,1.0,327.0,1.0,405.0,1.0,854.0,1.0,386.0,1.0,1418.0,1.0,449.0,1.0
312,60637,2013,198.0,1.0,415.0,1.0,256.0,1.0,576.0,1.0,484.0,1.0,338.0,1.0,929.0,1.0,356.0,1.0,1397.0,1.0,393.0,1.0
313,60637,2014,317.0,1.0,247.0,1.0,298.0,1.0,581.0,1.0,209.0,1.0,275.0,1.0,583.0,1.0,348.0,1.0,771.0,1.0,1315.0,1.0
314,60637,2015,502.0,1.0,213.0,1.0,316.0,1.0,666.0,1.0,163.0,1.0,302.0,1.0,640.0,0.9890625,399.0,1.0,411.0,1.0,1848.0,1.0
315,60637,2016,572.0,1.0,251.0,1.0,470.0,1.0,617.0,1.0,229.0,1.0,383.0,1.0,325.0,1.0,460.0,1.0,491.0,1.0,2698.0,1.0
316,60637,2017,415.0,0.9542168674698795,286.0,1.0,439.0,1.0,662.0,1.0,175.0,1.0,416.0,1.0,786.0,1.0,433.0,1.0,367.0,0.997275204359673,1830.0,0.9978142076502732
318,60638,2010,36.0,1.0,2.0,1.0,26.0,1.0,107.0,1.0,0.0,0.0,4.0,1.0,532.0,1.0,2.0,1.0,8.0,1.0,22.0,1.0
319,60638,2011,2489.0,1.0,498.0,1.0,607.0,1.0,793.0,1.0,1202.0,1.0,485.0,1.0,1046.0,1.0,300.0,1.0,1667.0,1.0,1206.0,1.0
320,60638,2012,755.0,1.0,405.0,1.0,587.0,1.0,813.0,1.0,2288.0,1.0,548.0,1.0,1160.0,1.0,248.0,1.0,1301.0,1.0,822.0,1.0
321,60638,2013,689.0,1.0,447.0,1.0,619.0,1.0,1100.0,1.0,2138.0,1.0,541.0,1.0,1393.0,1.0,225.0,1.0,1519.0,1.0,911.0,1.0
322,60638,2014,1138.0,1.0,264.0,1.0,606.0,1.0,995.0,1.0,1327.0,1.0,600.0,1.0,1583.0,0.9993682880606444,250.0,1.0,822.0,1.0,2258.0,1.0
323,60638,2015,1191.0,1.0,217.0,1.0,611.0,1.0,995.0,1.0,1095.0,1.0,848.0,1.0,899.0,0.9955506117908788,237.0,1.0,434.0,1.0,2477.0,1.0
324,60638,2016,1444.0,1.0,204.0,1.0,804.0,1.0,1237.0,1.0,1096.0,1.0,1721.0,1.0,699.0,1.0,384.0,1.0,501.0,1.0,2862.0,1.0
325,60638,2017,1474.0,0.921302578018996,189.0,1.0,866.0,1.0,1481.0,1.0,688.0,1.0,2383.0,1.0,750.0,1.0,297.0,1.0,442.0,1.0,2576.0,0.999611801242236
327,60639,2010,33.0,1.0,2.0,1.0,54.0,1.0,88.0,1.0,0.0,0.0,0.0,0.0,360.0,1.0,5.0,1.0,8.0,1.0,45.0,1.0
328,60639,2011,1008.0,1.0,316.0,1.0,741.0,1.0,1356.0,1.0,5545.0,1.0,855.0,1.0,729.0,1.0,505.0,1.0,1458.0,1.0,760.0,1.0
