,zip_code,year,Alley Lights Out,Alley Lights Out_completion_rate,Tree Debris,Tree Debris_completion_rate,Abandoned Vehicles,Abandoned Vehicles_completion_rate,Garbage Carts,Garbage Carts_completion_rate,Graffiti Removal,Graffiti Removal_completion_rate,Rodent Baiting,Rodent Baiting_completion_rate,Tree Trims,Tree Trims_completion_rate,Sanitation Code Complaints,Sanitation Code Complaints_completion_rate,Street Lights - All Out,Street Lights - All Out_completion_rate,Street Lights - One Out,Street Lights - One Out_completion_rate
37,60604,2016,2.0,1.0,6.0,1.0,7.0,1.0,0.0,0.0,76.0,1.0,29.0,1.0,1.0,1.0,4.0,1.0,14.0,1.0,102.0,1.0
38,60604,2017,1.0,1.0,3.0,1.0,19.0,1.0,0.0,0.0,92.0,1.0,27.0,1.0,0.0,0.0,19.0,1.0,14.0,1.0,55.0,1.0
40,60605,2010,3.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,2.0,1.0,20.0,1.0
41,60605,2011,16.0,1.0,6.0,1.0,34.0,1.0,49.0,1.0,654.0,1.0,31.0,1.0,31.0,1.0,47.0,1.0,113.0,1.0,163.0,1.0
42,60605,2012,16.0,1.0,11.0,1.0,46.0,1.0,70.0,1.0,647.0,1.0,286.0,1.0,52.0,1.0,47.0,1.0,181.0,1.0,182.0,1.0
43,60605,2013,16.0,1.0,20.0,1.0,44.0,1.0,83.0,1.0,1212.0,1.0,214.0,1.0,400.0,1.0,36.0,1.0,131.0,1.0,111.0,1.0
44,60605,2014,3.0,1.0,8.0,1.0,49.0,1.0,90.0,1.0,870.0,1.0,197.0,1.0,105.0,1.0,43.0,1.0,70.0,1.0,286.0,1.0
45,60605,2015,7.0,1.0,2.0,1.0,58.0,1.0,49.0,1.0,705.0,1.0,98.0,1.0,33.0,1.0,52.0,1.0,77.0,1.0,394.0,1.0
46,60605,2016,19.0,1.0,29.0,1.0,42.0,1.0,57.0,1.0,734.0,1.0,116.0,1.0,19.0,1.0,72.0,1.0,82.0,1.0,599.0,1.0
47,60605,2017,6.0,1.0,14.0,1.0,46.0,1.0,30.0,1.0,795.0,1.0,82.0,1.0,136.0,1.0,67.0,1.0,60.0,1.0,365.0,1.0
49,60606,2011,1.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,191.0,1.0,7.0,1.0,1.0,1.0,16.0,1.0,30.0,1.0,12.0,1.0
50,60606,2012,9.0,1.0,0.0,0.0,2.0,1.0,7.0,1.0,142.0,1.0,45.0,1.0,2.0,1.0,15.0,1.0,62.0,1.0,26.0,1.0
51,60606,2013,3.0,1.0,2.0,1.0,12.0,1.0,1.0,1.0,463.0,1.0,35.0,1.0,12.0,1.0,17.0,1.0,73.0,1.0,47.0,1.0
52,60606,2014,3.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,370.0,1.0,29.0,1.0,4.0,1.0,16.0,1.0,36.0,1.0,49.0,1.0
53,60606,2015,4.0,1.0,2.0,1.0,16.0,1.0,0.0,0.0,470.0,1.0,72.0,1.0,1.0,1.0,10.0,1.0,27.0,1.0,56.0,1.0
54,60606,2016,2.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,337.0,1.0,63.0,1.0,0.0,0.0,23.0,1.0,29.0,1.0,111.0,1.0
56,60607,2010,6.0,1.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,88.0,1.0,0.0,0.0,1.0,1.0,9.0,1.0
57,60607,2011,129.0,1.0,17.0,1.0,102.0,1.0,123.0,1.0,820.0,1.0,126.0,1.0,195.0,1.0,93.0,1.0,401.0,1.0,246.0,1.0
58,60607,2012,63.0,1.0,24.0,1.0,97.0,1.0,145.0,1.0,775.0,1.0,248.0,1.0,289.0,1.0,74.0,1.0,389.0,1.0,184.0,1.0
59,60607,2013,47.0,1.0,40.0,1.0,104.0,1.0,148.0,1.0,1356.0,1.0,285.0,1.0,262.0,1.0,100.0,1.0,407.0,1.0,237.0,1.0
60,60607,2014,88.0,1.0,33.0,1.0,115.0,1.0,114.0,1.0,1252.0,1.0,294.0,1.0,275.0,1.0,118.0,1.0,268.0,1.0,448.0,1.0
61,60607,2015,86.0,1.0,17.0,1.0,135.0,1.0,155.0,1.0,1102.0,1.0,304.0,1.0,326.0,0.9969325153374233,139.0,1.0,199.0,1.0,679.0,1.0
62,60607,2016,131.0,1.0,53.0,1.0,182.0,1.0,162.0,1.0,1009.0,1.0,363.0,1.0,159.0,1.0,132.0,1.0,151.0,1.0,628.0,1.0
63,60607,2017,83.0,0.9518072289156626,35.0,1.0,170.0,1.0,108.0,1.0,1184.0,0.9991554054054054,283.0,1.0,129.0,1.0,120.0,1.0,135.0,1.0,477.0,1.0
65,60608,2010,41.0,1.0,7.0,1.0,38.0,1.0,62.0,1.0,0.0,0.0,2.0,1.0,236.0,1.0,2.0,1.0,18.0,1.0,27.0,1.0
66,60608,2011,834.0,1.0,194.0,1.0,731.0,1.0,1047.0,1.0,9710.0,1.0,570.0,1.0,593.0,1.0,404.0,1.0,2134.0,1.0,649.0,1.0
67,60608,2012,491.0,1.0,208.0,1.0,628.0,1.0,1260.0,1.0,12469.0,1.0,748.0,1.0,968.0,1.0,329.0,1.0,1855.0,1.0,574.0,1.0
68,60608,2013,337.0,1.0,244.0,1.0,649.0,1.0,1123.0,1.0,13346.0,1.0,722.0,1.0,1103.0,1.0,426.0,1.0,1850.0,1.0,443.0,1.0
69,60608,2014,521.0,1.0,142.0,1.0,844.0,1.0,902.0,1.0,12162.0,1.0,603.0,1.0,1126.0,1.0,484.0,1.0,684.0,1.0,1491.0,1.0
70,60608,2015,731.0,1.0,135.0,1.0,900.0,1.0,931.0,1.0,10647.0,1.0,933.0,1.0,703.0,0.9900426742532006,645.0,1.0,505.0,1.0,2146.0,1.0
71,60608,2016,753.0,1.0,185.0,1.0,962.0,1.0,1090.0,1.0,8537.0,1.0,1142.0,1.0,852.0,1.0,562.0,1.0,579.0,1.0,2635.0,1.0
72,60608,2017,709.0,0.9464033850493653,219.0,1.0,900.0,1.0,1053.0,1.0,9779.0,1.0,1324.0,1.0,950.0,1.0,461.0,1.0,554.0,1.0,2325.0,1.0
74,60609,2010,36.0,1.0,4.0,1.0,36.0,1.0,132.0,1.0,0.0,0.0,7.0,1.0,480.0,1.0,5.0,1.0,24.0,1.0,30.0,1.0
75,60609,2011,1117.0,1.0,536.0,1.0,623.0,1.0,1289.0,1.0,4148.0,1.0,1251.0,1.0,743.0,1.0,527.0,1.0,2353.0,1.0,780.0,1.0
76,60609,2012,449.0,1.0,614.0,1.0,519.0,1.0,1468.0,1.0,6845.0,1.0,1259.0,1.0,1319.0,1.0,465.0,1.0,1636.0,1.0,671.0,1.0
77,60609,2013,393.0,1.0,438.0,1.0,492.0,1.0,1332.0,1.0,7774.0,1.0,769.0,1.0,1381.0,1.0,428.0,1.0,2033.0,1.0,640.0,1.0
78,60609,2014,452.0,1.0,287.0,1.0,607.0,1.0,1111.0,1.0,6146.0,1.0,719.0,1.0,1336.0,1.0,414.0,1.0,729.0,1.0,1507.0,1.0
79,60609,2015,816.0,1.0,251.0,1.0,711.0,1.0,1280.0,1.0,5567.0,1.0,1175.0,1.0,1368.0,0.9956140350877193,520.0,1.0,629.0,1.0,2575.0,1.0
80,60609,2016,893.0,1.0,363.0,1.0,860.0,1.0,1489.0,1.0,5199.0,1.0,1691.0,1.0,1232.0,0.9983766233766234,556.0,1.0,583.0,1.0,2860.0,1.0
81,60609,2017,718.0,0.9665738161559888,368.0,1.0,792.0,1.0,1194.0,1.0,5800.0,1.0,1430.0,1.0,836.0,0.9988038277511961,486.0,1.0,441.0,1.0,1850.0,1.0
83,60610,2010,12.0,1.0,0.0,0.0,3.0,1.0,10.0,1.0,0.0,0.0,2.0,1.0,86.0,1.0,0.0,0.0,2.0,1.0,9.0,1.0
84,60610,2011,81.0,1.0,18.0,1.0,136.0,1.0,91.0,1.0,734.0,1.0,276.0,1.0,158.0,1.0,129.0,1.0,362.0,1.0,116.0,1.0
85,60610,2012,47.0,1.0,24.0,1.0,113.0,1.0,125.0,1.0,593.0,1.0,460.0,1.0,129.0,1.0,98.0,1.0,323.0,1.0,183.0,1.0
86,60610,2013,38.0,1.0,13.0,1.0,76.0,1.0,101.0,1.0,916.0,1.0,411.0,1.0,160.0,1.0,112.0,1.0,248.0,1.0,82.0,1.0
87,60610,2014,27.0,1.0,17.0,1.0,71.0,1.0,89.0,1.0,610.0,1.0,259.0,1.0,98.0,0.9897959183673469,155.0,1.0,194.0,1.0,296.0,1.0
88,60610,2015,46.0,1.0,21.0,1.0,94.0,1.0,146.0,1.0,624.0,1.0,429.0,1.0,107.0,1.0,102.0,1.0,151.0,1.0,486.0,1.0
89,60610,2016,78.0,1.0,19.0,1.0,114.0,1.0,139.0,1.0,474.0,1.0,436.0,1.0,167.0,1.0,124.0,1.0,134.0,1.0,533.0,1.0
90,60610,2017,89.0,0.9550561797752809,38.0,1.0,120.0,1.0,116.0,1.0,531.0,1.0,392.0,1.0,185.0,0.9945945945945946,134.0,1.0,81.0,1.0,366.0,1.0
92,60611,2010,2.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0
93,60611,2011,6.0,1.0,4.0,1.0,16.0,1.0,9.0,1.0,535.0,1.0,45.0,1.0,65.0,1.0,30.0,1.0,215.0,1.0,95.0,1.0
94,60611,2012,4.0,1.0,4.0,1.0,8.0,1.0,8.0,1.0,314.0,1.0,100.0,1.0,40.0,1.0,26.0,1.0,164.0,1.0,101.0,1.0
95,60611,2013,6.0,1.0,5.0,1.0,26.0,1.0,14.0,1.0,752.0,1.0,150.0,1.0,48.0,1.0,35.0,1.0,116.0,1.0,96.0,1.0
96,60611,2014,8.0,1.0,2.0,1.0,21.0,1.0,15.0,1.0,412.0,1.0,88.0,1.0,41.0,1.0,45.0,1.0,135.0,1.0,238.0,1.0
97,60611,2015,9.0,1.0,2.0,1.0,19.0,1.0,17.0,1.0,430.0,1.0,91.0,1.0,38.0,1.0,55.0,1.0,96.0,1.0,311.0,1.0
98,60611,2016,10.0,1.0,4.0,1.0,23.0,1.0,18.0,1.0,431.0,1.0,117.0,1.0,67.0,1.0,60.0,1.0,107.0,1.0,293.0,1.0
99,60611,2017,7.0,1.0,7.0,1.0,30.0,1.0,10.0,1.0,675.0,1.0,109.0,1.0,39.0,1.0,60.0,1.0,40.0,1.0,188.0,1.0
101,60612,2010,15.0,1.0,0.0,0.0,16.0,1.0,153.0,1.0,0.0,0.0,0.0,0.0,169.0,1.0,5.0,1.0,15.0,1.0,31.0,1.0
102,60612,2011,640.0,1.0,131.0,1.0,386.0,1.0,1128.0,1.0,1452.0,1.0,736.0,1.0,310.0,1.0,339.0,1.0,2024.0,1.0,425.0,1.0
103,60612,2012,320.0,1.0,204.0,1.0,336.0,1.0,1232.0,1.0,1774.0,1.0,1058.0,1.0,394.0,1.0,460.0,1.0,1235.0,1.0,381.0,1.0
104,60612,2013,194.0,1.0,317.0,1.0,386.0,1.0,952.0,1.0,2366.0,1.0,881.0,1.0,839.0,1.0,420.0,1.0,1270.0,1.0,402.0,1.0
105,60612,2014,230.0,1.0,218.0,1.0,353.0,1.0,898.0,1.0,1637.0,1.0,801.0,1.0,481.0,1.0,434.0,1.0,601.0,1.0,1295.0,1.0
106,60612,2015,276.0,1.0,139.0,1.0,431.0,1.0,989.0,1.0,1648.0,1.0,793.0,1.0,327.0,0.9938837920489296,386.0,1.0,403.0,1.0,1598.0,1.0
107,60612,2016,329.0,1.0,252.0,1.0,466.0,1.0,878.0,1.0,1566.0,1.0,1101.0,1.0,457.0,1.0,499.0,1.0,408.0,1.0,1665.0,1.0
108,60612,2017,341.0,1.0,207.0,1.0,557.0,1.0,908.0,1.0,1950.0,1.0,986.0,1.0,678.0,0.9985250737463127,468.0,1.0,334.0,1.0,1356.0,0.9985250737463127
110,60613,2010,8.0,1.0,1.0,1.0,6.0,1.0,10.0,1.0,0.0,0.0,5.0,1.0,386.0,1.0,0.0,0.0,7.0,1.0,43.0,1.0
111,60613,2011,292.0,1.0,106.0,1.0,233.0,1.0,172.0,1.0,1333.0,1.0,318.0,1.0,404.0,1.0,165.0,1.0,465.0,1.0,366.0,1.0
112,60613,2012,180.0,1.0,65.0,1.0,244.0,1.0,387.0,1.0,1751.0,1.0,771.0,1.0,570.0,1.0,188.0,1.0,451.0,1.0,220.0,1.0
113,60613,2013,135.0,1.0,85.0,1.0,244.0,1.0,309.0,1.0,2685.0,1.0,829.0,1.0,704.0,1.0,138.0,1.0,263.0,1.0,177.0,1.0
114,60613,2014,106.0,1.0,106.0,1.0,263.0,1.0,280.0,1.0,3276.0,1.0,865.0,1.0,437.0,1.0,194.0,1.0,236.0,1.0,432.0,1.0
115,60613,2015,119.0,1.0,83.0,1.0,296.0,1.0,233.0,1.0,2934.0,1.0,919.0,1.0,383.0,0.9895561357702349,237.0,1.0,147.0,1.0,731.0,1.0
116,60613,2016,178.0,1.0,141.0,1.0,311.0,1.0,424.0,1.0,2757.0,1.0,1061.0,1.0,443.0,1.0,288.0,1.0,129.0,1.0,740.0,1.0
117,60613,2017,147.0,0.9931972789115646,97.0,1.0,257.0,1.0,299.0,1.0,2657.0,1.0,975.0,1.0,319.0,1.0,222.0,1.0,104.0,1.0,615.0,1.0
119,60614,2010,19.0,1.0,0.0,0.0,8.0,1.0,83.0,1.0,0.0,0.0,16.0,1.0,355.0,1.0,3.0,1.0,1.0,1.0,42.0,1.0
120,60614,2011,400.0,1.0,145.0,1.0,267.0,1.0,421.0,1.0,2096.0,1.0,1788.0,1.0,607.0,1.0,350.0,1.0,1168.0,1.0,490.0,1.0
121,60614,2012,200.0,1.0,94.0,1.0,290.0,1.0,551.0,1.0,2600.0,1.0,2107.0,1.0,920.0,1.0,312.0,1.0,652.0,1.0,331.0,1.0
122,60614,2013,182.0,1.0,130.0,1.0,252.0,1.0,589.0,1.0,2649.0,1.0,1859.0,1.0,651.0,1.0,640.0,1.0,794.0,1.0,297.0,1.0
123,60614,2014,212.0,1.0,104.0,1.0,292.0,1.0,662.0,1.0,2485.0,1.0,1564.0,1.0,727.0,1.0,1144.0,1.0,481.0,1.0,693.0,1.0
124,60614,2015,234.0,1.0,99.0,1.0,315.0,1.0,657.0,1.0,3168.0,1.0,1582.0,1.0,778.0,0.9948586118251928,525.0,1.0,227.0,1.0,927.0,1.0
125,60614,2016,329.0,1.0,238.0,1.0,380.0,1.0,1065.0,1.0,2466.0,1.0,1547.0,1.0,690.0,0.9985507246376811,837.0,1.0,283.0,1.0,1193.0,0.9983235540653814
126,60614,2017,336.0,0.9851190476190477,115.0,1.0,318.0,1.0,904.0,1.0,3140.0,1.0,1649.0,1.0,713.0,0.9915848527349228,854.0,0.9953161592505855,223.0,1.0,1053.0,0.9990503323836657
128,60615,2010,9.0,1.0,0.0,0.0,16.0,1.0,61.0,1.0,0.0,0.0,2.0,1.0,202.0,1.0,1.0,1.0,8.0,1.0,15.0,1.0
129,60615,2011,193.0,1.0,249.0,1.0,288.0,1.0,259.0,1.0,295.0,1.0,218.0,1.0,383.0,1.0,150.0,1.0,966.0,1.0,225.0,1.0
130,60615,2012,77.0,1.0,193.0,1.0,239.0,1.0,302.0,1.0,247.0,1.0,350.0,1.0,389.0,1.0,167.0,1.0,558.0,1.0,173.0,1.0
131,60615,2013,86.0,1.0,122.0,1.0,180.0,1.0,326.0,1.0,295.0,1.0,240.0,1.0,492.0,1.0,141.0,1.0,479.0,1.0,181.0,1.0
132,60615,2014,96.0,1.0,134.0,1.0,243.0,1.0,291.0,1.0,138.0,1.0,255.0,1.0,461.0,1.0,142.0,1.0,568.0,1.0,853.0,1.0
133,60615,2015,218.0,1.0,100.0,1.0,236.0,1.0,326.0,1.0,238.0,1.0,291.0,1.0,227.0,0.986784140969163,158.0,1.0,127.0,1.0,574.0,1.0
134,60615,2016,181.0,1.0,141.0,1.0,328.0,1.0,325.0,1.0,225.0,1.0,400.0,1.0,227.0,1.0,161.0,1.0,189.0,1.0,968.0,1.0
135,60615,2017,171.0,0.9707602339181286,156.0,1.0,351.0,1.0,289.0,1.0,203.0,1.0,253.0,1.0,391.0,1.0,169.0,1.0,149.0,1.0,761.0,1.0
137,60616,2010,15.0,1.0,0.0,0.0,9.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,242.0,1.0,1.0,1.0,4.0,1.0,28.0,1.0
138,60616,2011,405.0,1.0,63.0,1.0,292.0,1.0,292.0,1.0,1029.0,1.0,210.0,1.0,425.0,1.0,254.0,1.0,1038.0,1.0,489.0,1.0
139,60616,2012,181.0,1.0,109.0,1.0,269.0,1.0,426.0,1.0,1762.0,1.0,403.0,1.0,630.0,1.0,210.0,1.0,630.0,1.0,359.0,1.0
