,block,case_number,date,longitude,primary_type,year,zip
996,005XX S CLARK ST,HW285703,2013-05-21 20:50:00,-87.63069313,ASSAULT,2013,60605
997,108XX S AVENUE N,HW279313,2013-05-17 08:30:00,-87.53891027,ASSAULT,2013,60617
998,060XX S JUSTINE ST,HW285352,2013-05-21 22:30:00,-87.663126037,BATTERY,2013,60636
1000,033XX N HALSTED ST,HW288365,2013-05-23 23:35:00,-87.649366085,BATTERY,2013,60657
1001,059XX S INDIANA AVE,HW288521,2013-05-23 21:00:00,-87.620637517,THEFT,2013,60637
1002,035XX W BEACH AVE,HW289236,2013-05-24 15:15:00,-87.715404057,BATTERY,2013,60651
1003,040XX W GRAND AVE,HW288981,2013-05-24 12:30:00,-87.72648318,BATTERY,2013,60651
1004,024XX W TAYLOR ST,HW290047,2013-05-25 00:01:00,-87.687044067,THEFT,2013,60612
1005,028XX N CLARK ST,HW290555,2013-05-25 15:00:00,-87.645763705,ASSAULT,2013,60657
1006,017XX W HOWARD ST,HW290938,2013-05-25 21:20:00,-87.675049485,BATTERY,2013,
1007,010XX N LARAMIE AVE,HW292068,2013-05-26 21:33:00,-87.755700717,ASSAULT,2013,60651
1008,081XX S SAWYER AVE,HW295540,2013-05-29 00:00:00,-87.703488135,THEFT,2013,60652
1009,004XX E 111TH ST,HW298710,2013-05-31 16:43:00,-87.61255129,BATTERY,2013,60628
1010,012XX N ASHLAND AVE,HW298418,2013-05-26 23:20:00,-87.667498444,BATTERY,2013,60642
1011,034XX N CLARK ST,HW300819,2013-06-02 03:00:00,-87.653827678,BATTERY,2013,60657
1012,109XX S VERNON AVE,HW301385,2013-06-02 16:15:00,-87.61223726,BATTERY,2013,60628
1013,006XX W BARRY AVE,HW303638,2013-06-03 18:30:00,-87.645882525,THEFT,2013,60657
1015,059XX W ROOSEVELT RD,HW304170,2013-06-03 23:00:00,-87.773456688,BURGLARY,2013,
1016,012XX W 59TH ST,HW306323,2013-06-05 23:30:00,-87.656239847,BATTERY,2013,60636
1017,018XX W 47TH ST,HW309036,2013-06-07 19:50:00,-87.670129634,BATTERY,2013,60609
1018,035XX N CLARK ST,HW309449,2013-06-08 01:30:00,-87.656204131,THEFT,2013,60657
1019,032XX N SHEFFIELD AVE,HW309472,2013-06-08 04:00:00,-87.654122097,BATTERY,2013,60657
1020,078XX S WABASH AVE,HW310902,2013-06-08 20:00:00,-87.62302405,THEFT,2013,60619
1021,023XX W HOWARD ST,HW312226,2013-06-10 08:00:00,-87.688808077,THEFT,2013,
1022,042XX W 55TH ST,HW312288,2013-06-07 21:30:00,-87.729648246,THEFT,2013,60629
1023,005XX W LAKE ST,HW313234,2013-06-10 18:15:00,-87.641726854,THEFT,2013,60661
1024,032XX W LE MOYNE ST,HW313497,2013-06-11 07:20:00,-87.707874418,THEFT,2013,60651
1025,100XX S AVENUE M,HW314609,2013-06-11 20:15:00,-87.537694141,ASSAULT,2013,60617
1026,048XX N FRANCISCO AVE,HW315638,2013-06-12 15:15:00,-87.700488807,BATTERY,2013,60625
1027,036XX S HERMITAGE AVE,HW317263,2013-05-20 23:00:00,-87.66911451,THEFT,2013,60609
1028,066XX S LAFLIN ST,HW319503,2013-06-15 05:00:00,-87.661608159,BATTERY,2013,60636
1029,077XX S JEFFERY BLVD,HW319438,2013-06-15 03:30:00,-87.576045629,ARSON,2013,60649
1030,013XX E 89TH ST,HW321221,2013-06-16 12:15:00,-87.591348068,ASSAULT,2013,60619
1031,011XX S MOZART ST,HW322362,2013-06-17 02:30:00,-87.6971543,BATTERY,2013,60612
1032,071XX S DREXEL AVE,HW324988,2013-06-18 17:15:00,-87.60310295,BATTERY,2013,60619
1033,004XX W MELROSE ST,HW325213,2013-06-18 15:00:00,-87.640484313,THEFT,2013,60657
1034,045XX S ST LOUIS AVE,HW327572,2013-06-20 15:15:00,-87.7112475,BATTERY,2013,60632
1035,090XX S WESTERN AVE,HW328076,2013-06-20 14:55:00,-87.682326711,THEFT,2013,
1036,017XX N CLARK ST,HW328123,2013-06-15 14:00:00,-87.633396724,THEFT,2013,60614
1037,031XX N BROADWAY,HW328832,2013-06-21 11:35:00,-87.644358344,THEFT,2013,60657
1038,013XX W ADDISON ST,HW329350,2013-06-20 20:00:00,-87.66207156,THEFT,2013,60657
1039,030XX N CLARK ST,HW333967,2013-06-25 00:45:00,-87.648132335,BATTERY,2013,60657
1040,039XX W JACKSON BLVD,HW334096,2013-06-25 05:23:00,-87.723714312,ARSON,2013,60624
1041,003XX E 131ST PL,HW335695,2013-06-25 17:30:00,-87.614159613,ASSAULT,2013,60827
1042,002XX N HAMLIN BLVD,HW336255,2013-06-25 14:00:00,-87.72087861,THEFT,2013,60624
